複オッズ小,複オッズ大,当日芝,当日ダ,当日距離,本日良,本日稍,本日重,本日不,枠番,馬番,中週,体重,体重増減,牡,牝,セ,馬齢,斤量,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
2.2,3.1,1,0,2500,1,0,0,0,1,1,8,468,+4,1,0,0,6,56.0,0,0,0,0,0,1,0,0,0,0,5,1,0,2200,136.0,0,1,0,0,12,12,6,56,7,9,9,8,36.7,464,+2,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,2000,117.4,1,0,0,0,12,10,6,57,4,4,3,3,33.8,462,+4,0.5,0,0,0,0,0,0,0,1,0,0,12,1,0,3200,197.5,1,0,0,0,17,10,6,58,12,12,4,6,36.9,458,+2,1.3,0,0,0,0,0,0,0,0,1,0,2,1,0,3000,183.8,1,0,0,0,11,6,6,55,7,6,7,4,36.0,456,+2,0.2
45.7,70.3,1,0,2500,1,0,0,0,2,2,60,518,+2,1,0,0,8,56.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,2400,146.2,1,0,0,0,11,10,8,54,2,2,2,2,35.5,516,-4,0.8,0,0,0,0,0,1,0,0,0,0,6,1,0,2500,153.6,1,0,0,0,13,3,8,54,2,2,2,3,37.2,520,+14,0.9,0,0,0,0,0,0,0,1,0,0,7,1,0,2200,135.2,1,0,0,0,8,7,8,54,2,2,2,2,34.8,506,-2,0.5,0,0,0,0,0,0,0,1,0,0,7,1,0,2400,149.8,1,0,0,0,8,2,8,57,1,1,1,1,35.9,508,-2,0.8
8.0,12.1,1,0,2500,1,0,0,0,3,3,9,498,-2,0,1,0,5,54.0,0,0,0,0,0,0,0,0,0,1,12,1,0,2000,123.0,0,0,1,0,16,15,5,54,11,14,15,15,37.6,500,+16,1.9,0,0,0,0,0,0,0,1,0,0,16,1,0,2200,135.8,1,0,0,0,18,5,5,56,10,11,9,9,34.4,484,-8,1.7,1,0,0,0,0,0,0,0,0,0,1,1,0,2600,160.8,1,0,0,0,14,8,5,50,8,8,8,5,35.3,492,0,-0.6,0,1,0,0,0,0,0,0,0,0,1,1,0,2600,161.7,1,0,0,0,11,11,5,53,10,10,10,5,35.5,492,+6,-0.1,0,0,0,1,0,0,0,0,0,0,1,1,0,2400,149.0,1,0,0,0,9,5,5,55,7,7,7,6,34.4,486,+28,0.0
2.3,3.3,1,0,2500,1,0,0,0,3,4,9,452,-4,1,0,0,5,56.0,0,0,0,0,0,0,0,1,0,0,2,1,0,2400,147.3,1,0,0,0,14,4,5,54,3,3,5,6,35.1,456,-4,0.4,0,0,0,0,0,0,0,1,0,0,1,1,0,2200,133.4,1,0,0,0,13,3,5,55,3,3,3,3,34.7,460,+12,-0.1,0,0,0,0,0,0,0,1,0,0,7,1,0,2400,145.9,1,0,0,0,12,5,5,55,6,6,6,6,34.6,448,-2,0.6,0,0,0,0,0,0,1,0,0,0,1,1,0,2200,132.7,1,0,0,0,12,2,5,56,4,4,4,4,34.9,450,+2,0.0,0,0,0,0,0,0,1,0,0,0,1,1,0,2000,122.1,1,0,0,0,18,6,5,56,4,4,4,3,34.9,448,-6,0.0
23.4,36.0,1,0,2500,1,0,0,0,4,5,11,544,-10,1,0,0,8,56.0,0,0,0,0,0,0,0,1,0,0,8,1,0,3000,189.8,1,0,0,0,15,10,8,54,1,1,1,2,37.3,554,+26,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0,1,2000,127.8,1,0,0,0,14,3,8,54,2,2,2,10,40.9,528,-8,4.3,1,0,0,0,0,0,0,0,0,0,7,1,0,2600,161.8,1,0,0,0,14,11,8,54,1,1,1,2,37.1,536,-8,1.0,1,0,0,0,0,0,0,0,0,0,8,1,0,2600,161.7,1,0,0,0,10,1,8,56,1,1,2,2,36.8,544,+4,1.0
3.2,4.8,1,0,2500,1,0,0,0,4,6,11,496,-2,1,0,0,6,56.0,0,0,0,0,0,1,0,0,0,0,2,1,0,2000,119.5,1,0,0,0,17,8,6,55,5,5,5,4,35.3,498,+2,0.0,0,0,0,0,0,1,0,0,0,0,2,1,0,1800,107.5,1,0,0,0,16,3,6,56,3,4,4,3,34.5,496,+2,0.2,0,0,1,0,0,0,0,0,0,0,4,1,0,2000,119.9,1,0,0,0,16,15,6,54,4,3,3,2,36.1,494,-4,0.4,1,0,0,0,0,0,0,0,0,0,1,1,0,2000,122.4,0,1,0,0,14,11,6,58,2,2,2,2,37.4,498,+8,-0.1,1,0,0,0,0,0,0,0,0,0,3,1,0,1800,106.4,1,0,0,0,14,5,6,54,6,6,5,4,34.9,490,0,0.0
3.2,4.6,1,0,2500,1,0,0,0,5,7,3,512,0,0,1,0,6,54.0,0,0,0,0,0,1,0,0,0,0,3,1,0,1800,106.6,1,0,0,0,9,4,6,54,2,2,2,2,35.2,512,+18,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,1,0,1600,91.2,1,0,0,0,18,16,6,55,4,4,0,0,34.3,494,+4,0.7
1.8,2.4,1,0,2500,1,0,0,0,5,8,13,466,+4,1,0,0,5,56.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,1,0,2500,152.4,1,0,0,0,16,3,5,57,5,5,5,4,37.2,462,0,1.9,0,0,0,0,1,0,0,0,0,0,7,1,0,2400,146.9,0,0,1,0,15,13,5,57,4,4,3,2,37.7,462,-16,1.0,0,0,0,0,0,0,0,1,0,0,5,1,0,2400,144.1,1,0,0,0,17,4,5,56,15,15,16,16,34.8,478,+4,0.6,0,0,0,0,0,0,0,0,1,0,9,1,0,2200,132.6,1,0,0,0,12,3,5,58,10,10,8,8,36.4,474,+2,1.8
15.9,24.5,1,0,2500,1,0,0,0,6,9,5,510,0,1,0,0,7,56.0,0,0,0,0,0,0,0,1,0,0,9,1,0,2200,139.5,0,0,1,0,9,10,7,56,5,3,5,7,38.7,510,+2,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,1,0,1800,109.0,0,1,0,0,16,6,7,59,7,7,4,3,37.7,508,-2,1.6,0,0,0,0,0,0,0,1,0,0,16,1,0,2400,150.2,1,0,0,0,16,7,7,57,5,4,5,6,40.9,510,+4,4.0,0,0,0,0,1,0,0,0,0,0,12,1,0,2400,144.3,1,0,0,0,14,10,7,57,3,4,4,4,37.4,506,+6,3.7
1.9,2.7,1,0,2500,1,0,0,0,6,10,9,472,-6,1,0,0,4,56.0,0,0,0,0,0,0,0,1,0,0,1,1,0,2400,146.9,1,0,0,0,14,6,4,52,5,5,7,6,34.5,478,+8,-0.4,0,0,0,0,0,1,0,0,0,0,4,1,0,2500,155.7,1,0,0,0,16,8,4,54,10,10,11,10,34.2,470,-10,0.1,0,0,0,0,0,0,0,1,0,0,1,1,0,2400,146.4,1,0,0,0,8,7,4,54,5,5,5,5,34.7,480,+6,-0.5,0,0,0,0,0,1,0,0,0,0,17,1,0,2200,133.8,0,0,1,0,18,6,4,56,17,17,17,16,36.5,474,+6,2.3,0,0,0,0,0,0,1,0,0,0,1,1,0,2200,133.3,0,0,1,0,12,11,4,54,6,6,5,5,36.0,468,-6,-0.6
