馬名,着順,オッズ,枠番,馬番,中週,体重,体重増減,性別,馬齢,斤量,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
ゴールデンゾーン,3,5.3,1,1,2,484,-2,0,3,53.0,7,4,0,1600,1:36.0,0,16,9,2,56,5,5,5,0,35.7,486,+6,0.5,7,6,0,1400,1:23.1,0,18,14,1,54,14,13,0,0,35.2,480,+4,0.6,5,2,0,1400,1:22.4,0,18,17,1,55,3,3,0,0,34.9,476,+4,0.2,4,2,0,1400,1:23.5,1,13,1,1,53,9,9,0,0,35.8,472,0,0.6,5,2,0,1400,1:23.3,0,18,15,3,53,10,9,0,0,33.9,472,0,0.1
シングンジゼル,14,163.8,1,2,0,416,0,1,3,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ベルキューティ,6,5.5,2,3,8,418,-4,1,3,53.0,5,7,1,1400,1:29.4,0,16,5,1,54,8,9,0,0,40.4,422,+2,1.4,6,2,1,1200,1:13.6,0,16,5,1,54,4,4,0,0,37.5,420,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ギニー,10,34.1,2,4,9,494,-6,0,3,56.0,7,11,0,2000,2:05.4,0,18,14,16,56,15,14,14,14,35.5,500,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ファウラー,15,273.7,3,5,18,464,+12,0,3,56.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,0,1600,1:37.6,0,18,2,13,55,7,6,0,0,36.4,452,+4,2.1,5,9,0,1800,1:54.7,0,11,5,10,55,2,2,2,0,35.3,448,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
シゲルカイヤナイト,12,84.2,3,6,16,406,-6,1,3,54.0,6,9,1,1200,1:14.9,0,16,11,9,54,9,8,0,0,39.8,412,0,2.4,5,8,1,1600,1:43.5,0,14,11,10,54,1,1,0,0,39.9,412,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ショウナンサジン,7,68.4,4,7,9,472,0,0,3,56.0,6,15,1,1800,2:03.2,0,16,5,7,56,9,10,9,9,45.1,472,-8,5.2,6,15,0,2000,2:05.7,0,18,3,7,55,14,13,14,14,39.3,480,+6,4.2,5,5,0,1800,1:49.8,0,11,6,7,55,10,8,8,0,34.8,474,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ディオミーオ,5,152.4,4,8,23,472,+10,1,3,54.0,5,10,0,1600,1:37.6,0,18,7,12,54,10,10,0,0,35.1,462,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ヒノキブタイ,16,388.6,5,9,9,536,+4,0,3,53.0,7,18,0,1400,1:24.5,0,18,17,17,53,17,17,0,0,35.0,532,+22,1.8,5,13,1,1300,1:25.3,0,13,11,10,55,13,13,0,0,40.4,510,+2,5.3,5,18,0,1400,1:26.1,0,18,3,15,55,4,4,0,0,37.2,508,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
エスタジ,2,3.3,5,10,3,440,0,1,3,54.0,6,4,0,1600,1:36.2,1,16,1,4,54,6,5,5,0,36.3,440,+10,0.5,7,7,0,1600,1:35.9,0,14,2,4,54,10,11,11,0,35.2,430,-6,0.7,5,3,0,1400,1:23.9,0,18,14,2,54,6,6,0,0,33.9,436,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
サトノプロミネント,8,22.6,6,11,17,448,+2,2,3,56.0,5,13,1,1600,1:41.6,0,16,9,8,55,15,15,0,0,38.9,446,+2,2.4,5,5,0,1800,1:51.0,0,8,8,4,55,6,6,7,0,34.3,444,-4,1.3,6,4,0,1800,1:50.7,1,10,3,5,54,4,4,6,6,35.5,448,0,0.6,4,5,0,1400,1:22.6,0,18,7,7,54,15,13,0,0,35.6,448,+10,0.8,3,7,0,1200,1:14.4,0,16,4,3,54,11,13,0,0,36.4,438,0,0.6
ラテルネラ,13,30.9,6,12,0,430,0,1,3,51.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
キープオンゴーイン,1,2.5,7,13,3,486,-6,1,3,54.0,6,2,0,1800,1:49.0,0,16,5,3,54,1,1,1,1,36.5,492,-6,0.1,5,4,0,1600,1:36.3,0,16,10,4,54,5,4,0,0,34.7,498,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
エンパワーメント,11,107.7,7,14,15,442,+10,2,3,54.0,7,12,0,1600,1:37.4,0,14,10,13,55,12,12,13,0,36.5,432,-6,2.2,5,10,0,1400,1:23.3,1,18,1,9,55,16,15,0,0,34.5,438,0,1.1,6,8,0,1600,1:37.9,0,15,1,8,54,11,8,9,0,34.5,438,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
パドゥバスク,9,116.2,8,15,11,494,-6,1,3,53.0,6,14,1,1200,1:16.4,0,16,10,6,54,14,15,0,0,38.0,500,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
パラレルキャリア,4,31.0,8,16,0,436,0,1,3,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
