馬名,着順,オッズ,枠番,馬番,中週,体重,体重増減,性別,馬齢,斤量,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
シゲルキンセイ,3,129.3,1,1,1,478,0,0,2,52.0,9,17,0,1600,1:37.2,0,18,17,2,51,3,4,0,0,37.6,478,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
クリノアマリリス,4,8.8,2,2,2,420,0,1,2,51.0,9,2,0,1400,1:22.0,0,16,13,2,51,12,12,0,0,35.4,420,+2,0.6,9,3,0,1400,1:22.3,0,14,11,2,51,5,4,0,0,34.4,418,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
メイショウノリムネ,6,165.5,2,3,3,480,-10,0,2,55.0,9,8,0,1800,1:51.0,0,9,2,2,54,6,7,0,0,35.3,490,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
テレーザ,9,72.0,3,4,11,454,+12,1,2,51.0,7,13,1,1200,1:16.5,1,13,1,2,52,5,3,0,0,40.9,442,-16,3.7,9,5,0,1600,1:37.3,0,6,3,2,52,3,3,0,0,36.7,458,-2,1.1,9,4,0,1400,1:24.4,1,7,7,2,52,1,1,0,0,36.9,460,+4,1.6,9,9,0,1400,1:26.1,0,11,10,2,52,1,1,0,0,39.5,456,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ワイドダビデ,10,89.9,3,5,1,468,-8,0,2,55.0,9,17,0,1800,1:50.5,0,18,10,2,54,1,1,0,0,37.3,476,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
モズアーントモー,1,3.1,4,6,3,514,-2,1,2,54.0,9,2,0,1400,1:22.2,0,12,4,2,54,2,2,0,0,35.5,516,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ソニックベガ,2,6.4,4,7,8,440,-2,1,2,54.0,10,4,0,1200,1:10.8,0,15,5,2,54,11,10,0,0,35.2,442,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ラキ,5,15.4,5,8,2,440,-8,1,2,54.0,6,3,0,1600,1:38.2,0,16,8,2,54,2,2,2,0,34.8,448,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
サトノジヴェルニー,7,3.8,5,9,2,444,0,0,2,55.0,9,4,0,1600,1:37.5,0,15,9,2,54,3,3,0,0,34.2,444,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スマートアペックス,8,7.2,6,10,6,462,+10,0,2,55.0,10,3,0,1200,1:09.6,0,10,6,2,51,1,1,0,0,36.0,452,+8,0.6,10,2,0,1200,1:09.4,0,6,4,2,54,2,2,0,0,35.3,444,+2,0.2,7,2,0,1200,1:11.6,2,9,3,2,54,2,2,0,0,35.0,442,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ブルベアハロン,12,269.3,6,11,2,460,0,0,2,53.0,9,14,1,1400,1:30.8,0,16,6,2,51,8,9,0,0,41.2,460,0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
キラビヤカ,14,84.4,7,12,3,404,+2,1,2,51.0,9,7,0,1200,1:10.8,0,12,8,2,51,5,6,0,0,35.6,402,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ファシネイティング,13,39.1,7,13,11,434,+4,1,2,54.0,7,13,0,1600,1:38.9,2,14,6,2,54,7,10,10,0,37.0,430,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
レディオマジック,11,18.7,8,14,14,460,+12,0,2,55.0,7,6,0,1400,1:24.6,2,11,7,2,54,4,5,0,0,36.8,448,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
タイガーサイレンス,15,139.5,8,15,1,442,+2,0,2,55.0,9,10,0,1800,1:49.3,0,18,15,2,54,4,3,0,0,35.8,440,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
