馬名,着順,オッズ,枠番,馬番,中週,体重,体重増減,性別,馬齢,斤量,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
ショウナンマッシブ,7,19.0,1,1,2,472,-2,0,5,57.0,8,4,0,1200,0,0,14,4,5,57,10,10,0,0,33.8,474,0,0.3,6,5,0,1200,0,0,16,1,5,57,5,5,0,0,34.0,474,0,0.2,1,12,0,1200,0,0,16,12,5,57,9,6,0,0,34.8,474,-2,0.7,3,6,0,1200,0,3,12,12,5,57,1,1,0,0,36.4,476,+4,0.5,6,6,0,1200,0,0,12,11,5,57,3,2,0,0,34.0,472,-2,0.3
ウィズ,6,25.8,2,2,5,488,+4,0,4,57.0,6,13,0,1200,0,0,16,5,4,57,5,5,0,0,34.4,484,+2,0.5,10,9,0,1200,0,0,16,7,4,54,13,15,0,0,34.7,482,+2,0.9,7,6,0,1200,0,2,10,4,4,57,2,1,0,0,35.6,480,0,0.7,9,3,0,1200,0,0,12,7,4,54,6,4,0,0,34.6,480,-2,0.3,6,11,0,1200,0,1,16,15,4,56,3,2,0,0,36.3,482,+4,0.9
メジェールスー,1,8.6,3,3,2,474,+8,1,4,55.0,5,7,0,1600,0,0,15,14,4,52,8,8,0,0,33.8,466,-4,0.5,10,3,0,1200,0,0,16,11,4,52,4,4,0,0,34.6,470,+4,0.1,10,6,0,1200,0,0,11,3,4,55,1,1,0,0,35.3,466,-2,0.5,8,8,0,1200,0,0,16,9,4,52,2,2,0,0,34.1,468,+6,0.7,4,1,0,1200,0,0,16,3,4,52,2,2,0,0,34.6,462,-6,0.0
トンボイ,10,12.1,3,4,3,440,+4,1,4,55.0,6,2,0,1200,0,0,16,13,4,52,2,2,0,0,33.9,436,0,0.0,10,4,0,1200,0,0,16,5,4,52,1,1,0,0,35.4,436,+2,0.5,4,11,0,1000,0,0,18,8,4,55,0,0,0,0,33.1,434,+8,1.0,8,5,0,1200,0,0,16,2,4,55,2,2,0,0,34.3,426,+2,0.4,5,7,0,1400,0,0,12,10,4,55,3,4,0,0,34.5,424,-8,0.6
キャスパリーグ,3,3.8,4,5,5,472,+8,1,5,55.0,9,2,0,1200,0,0,16,10,5,55,16,14,0,0,33.5,464,+2,0.0,10,1,0,1200,0,0,15,12,5,55,6,5,0,0,34.1,462,+4,-0.2,10,2,0,1200,0,0,10,5,5,55,7,5,0,0,34.0,458,+4,0.2,9,5,0,1200,0,0,16,3,5,55,14,14,0,0,33.8,454,+4,0.4,4,4,0,1200,0,0,16,12,5,52,15,15,0,0,33.6,450,+4,0.1
メイラヴェル,14,16.7,4,6,7,442,-10,1,4,55.0,4,7,0,1200,0,0,18,7,4,54,13,13,0,0,34.1,452,+2,0.4,2,2,0,1200,0,1,14,9,4,55,12,11,0,0,34.8,450,-4,0.2,4,2,0,1200,0,0,16,6,4,55,10,9,0,0,33.9,454,+6,0.1,6,8,0,1200,0,0,16,1,4,55,4,4,0,0,35.1,448,+4,0.6,6,7,0,1200,0,0,16,11,4,54,14,13,0,0,34.1,444,+6,0.4
サンライズカナロア,8,23.3,5,7,9,460,+4,0,4,57.0,10,4,0,1200,0,0,14,11,4,57,2,2,0,0,35.5,456,-8,0.4,4,16,0,1200,0,0,16,16,4,57,1,2,0,0,38.1,464,-2,3.2,3,1,0,1200,0,0,16,8,4,54,1,1,0,0,35.1,466,-10,-0.1,10,18,0,1200,0,1,18,4,4,57,1,2,0,0,37.9,476,+10,2.1,7,9,0,1200,0,0,18,8,4,56,8,9,0,0,34.1,466,+8,0.4
マリエラ,11,64.9,5,8,2,538,+2,0,6,57.0,8,6,0,1200,0,0,14,7,6,57,13,13,0,0,33.7,536,+20,0.5,6,10,0,1200,0,0,16,6,6,57,12,12,0,0,33.9,516,+2,0.4,10,5,0,1200,0,0,16,6,6,54,15,12,0,0,34.3,514,-12,0.6,9,13,0,1400,0,1,13,11,6,57,9,9,0,0,36.8,526,+2,1.7,8,7,0,1200,0,0,16,4,6,54,15,14,0,0,33.0,524,-10,0.6
マッスルマサムネ,4,19.5,6,9,7,484,+12,2,4,57.0,10,3,0,1200,0,0,17,7,4,52,4,4,0,0,34.1,472,-6,0.0,10,1,0,1200,0,0,18,11,4,54,4,4,0,0,34.5,478,+2,-0.2,7,7,1,1400,0,3,16,9,4,57,5,4,0,0,37.3,476,-4,0.6,4,8,1,1200,0,0,15,15,4,57,5,5,0,0,37.4,480,-10,1.3,9,10,1,1400,0,1,16,5,4,57,11,10,0,0,37.5,490,-4,1.2
ディアサルファー,12,46.6,6,10,5,490,+2,1,4,55.0,6,4,0,1200,0,0,16,14,4,55,3,3,0,0,34.3,488,+4,0.2,4,5,0,1000,0,0,18,11,4,55,0,0,0,0,32.6,484,+6,0.4,3,5,0,1200,0,1,9,9,4,55,4,4,0,0,35.6,478,-4,0.5,5,12,0,1400,0,0,18,12,4,55,15,15,0,0,33.8,482,+4,1.0,5,11,0,1400,0,0,12,8,4,55,2,2,0,0,35.2,478,+4,1.0
タイセイアベニール,5,4.9,7,11,3,488,+4,0,4,57.0,6,10,0,1200,0,0,16,9,4,57,10,10,0,0,33.7,484,+4,0.6,8,2,0,1200,0,0,16,12,4,56,6,5,0,0,33.1,480,-4,0.2,8,2,0,1200,0,0,16,10,4,57,10,6,0,0,33.4,484,+4,0.1,9,2,0,1200,0,1,13,1,4,55,6,8,0,0,33.7,480,+6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ブリングイットオン,9,95.5,7,12,2,440,+2,1,3,53.0,8,8,0,1200,0,0,14,8,3,53,11,10,0,0,34.2,438,+8,0.8,9,10,0,1400,0,1,13,4,3,52,3,3,0,0,37.0,430,-6,1.4,8,10,0,1400,0,0,16,15,3,54,15,14,0,0,33.9,436,+12,1.0,7,5,0,1400,0,0,15,12,3,54,10,9,0,0,35.3,424,-2,1.0,9,6,0,1200,0,0,6,3,3,54,6,6,0,0,34.7,426,+4,0.7
メープル,13,205.9,8,13,8,504,-2,1,4,55.0,10,11,0,1200,0,0,16,8,4,52,10,8,0,0,35.0,506,-6,1.0,10,13,1,1000,0,0,14,8,4,55,12,12,0,0,36.2,512,+10,1.8,9,11,1,1200,0,0,16,1,4,55,1,1,0,0,37.8,502,0,1.4,9,10,1,1200,0,0,16,1,4,52,1,1,0,0,37.5,502,+4,0.9,8,10,1,1400,0,0,12,12,4,54,3,5,0,0,40.9,498,-2,2.8
メイショウキョウジ,2,3.4,8,14,2,474,+2,0,4,57.0,8,2,0,1200,0,0,14,14,4,57,5,5,0,0,34.0,472,0,0.1,10,2,0,1200,0,0,16,1,4,55,6,4,0,0,34.4,472,+4,0.0,10,1,0,1200,0,0,13,11,4,57,2,2,0,0,34.0,468,0,-0.2,7,2,0,1400,0,1,15,15,4,57,2,2,0,0,34.5,468,+12,0.1,4,11,0,1400,0,0,16,14,4,57,2,2,0,0,36.5,456,-16,1.0
