枠番,馬番,中週,体重,体重増減,牡,牝,セ,馬齢,斤量,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
1,1,7,440,-6,1,0,0,3,56.0,0,0,0,0,0,1,0,0,0,0,7,1,1800,119.5,0,1,0,0,15,7,3,56,15,15,13,13,40.3,446,-4,2.8,0,0,0,0,0,1,0,0,0,0,8,1,1800,118.6,1,0,0,0,16,7,3,53,12,12,12,12,41.3,450,+6,2.8,0,0,0,0,0,0,1,0,0,0,7,1,1200,74.7,1,0,0,0,16,4,3,55,15,16,0,0,37.3,444,-4,1.4,0,0,0,0,1,0,0,0,0,0,9,1,1400,86.9,0,0,0,1,16,13,3,55,9,9,0,0,38.0,448,+6,2.2,0,0,0,0,0,1,0,0,0,0,10,1,1200,73.9,1,0,0,0,16,4,3,51,14,11,0,0,37.5,442,0,0.9
1,2,5,494,+4,1,0,0,3,55.0,0,0,0,0,0,0,0,0,0,1,8,1,1700,107.4,0,0,1,0,16,12,3,56,6,5,4,6,39.2,490,-2,1.6,0,0,0,0,0,0,0,1,0,0,6,1,1200,74.4,0,1,0,0,16,2,3,56,10,9,0,0,37.4,492,-6,1.7,0,0,0,0,0,0,1,0,0,0,3,1,1200,74.0,1,0,0,0,16,6,3,55,8,8,0,0,37.7,498,-2,0.7,0,0,0,1,0,0,0,0,0,0,13,0,1400,85.5,0,1,0,0,18,2,3,55,10,11,0,0,37.0,500,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,7,502,+4,1,0,0,3,56.0,0,0,0,0,0,0,0,1,0,0,11,0,1600,98.6,1,0,0,0,16,7,3,56,6,6,0,0,38.0,498,-4,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,1600,94.2,1,0,0,0,9,6,3,54,8,7,0,0,35.1,502,-18,0.6,0,0,0,1,0,0,0,0,0,0,13,0,1800,110.7,1,0,0,0,14,2,3,54,1,1,0,0,36.1,520,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,1,506,-4,0,1,0,3,54.0,0,0,0,0,0,0,1,0,0,0,2,1,1200,72.8,0,1,0,0,15,6,3,54,11,8,0,0,36.9,510,+4,1.8,0,0,0,0,0,0,0,1,0,0,3,1,1400,87.2,0,1,0,0,16,7,3,54,4,4,0,0,38.8,506,0,1.7,0,0,0,0,0,0,1,0,0,0,2,1,1400,86.4,1,0,0,0,15,10,3,54,2,2,0,0,38.3,506,-6,0.1,0,0,0,0,1,0,0,0,0,0,6,1,1600,100.3,0,0,1,0,16,8,3,54,2,2,0,0,40.2,512,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,5,13,448,-6,1,0,0,3,56.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,1,1800,118.7,1,0,0,0,11,9,3,55,2,4,4,2,40.9,454,+10,2.4,0,0,0,0,0,0,0,0,0,1,5,1,1700,111.0,1,0,0,0,16,16,3,54,3,4,3,4,40.9,444,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6,12,488,-4,1,0,0,3,56.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,1600,95.8,1,0,0,0,18,5,3,55,15,15,0,0,35.7,492,-4,1.2,0,0,0,0,0,0,1,0,0,0,7,0,1400,84.2,1,0,0,0,14,14,3,55,9,10,0,0,34.8,496,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,7,6,476,+2,1,0,0,3,56.0,0,0,0,0,0,1,0,0,0,0,7,1,1200,73.7,0,1,0,0,16,4,3,56,6,7,0,0,38.9,474,-2,0.9,0,0,0,0,0,1,0,0,0,0,6,1,1200,73.6,1,0,0,0,15,14,3,55,3,2,0,0,39.1,476,+10,1.1,0,0,1,0,0,0,0,0,0,0,6,1,1150,70.8,0,1,0,0,14,6,3,54,2,2,0,0,39.6,466,+6,1.3,0,0,0,0,1,0,0,0,0,0,3,0,1400,84.8,0,0,1,0,13,6,3,54,6,6,0,0,35.7,460,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,8,2,444,0,0,0,1,3,55.0,0,0,0,0,0,0,0,1,0,0,5,1,1400,85.6,0,0,1,0,15,3,3,56,8,7,0,0,37.3,444,-6,0.4,0,0,0,0,0,0,0,1,0,0,3,1,1400,87.0,1,0,0,0,15,14,3,56,9,7,0,0,38.1,450,+2,1.2,0,0,0,0,0,0,0,1,0,0,4,1,1200,73.6,0,0,1,0,11,8,3,56,6,6,0,0,37.5,448,0,0.8,0,0,0,0,0,0,0,1,0,0,7,1,1200,74.5,0,1,0,0,16,14,3,56,10,11,0,0,37.3,448,0,1.8,0,0,0,0,0,0,1,0,0,0,6,1,1200,74.4,1,0,0,0,16,2,3,55,15,15,0,0,37.0,448,0,1.1
5,9,2,508,0,1,0,0,3,56.0,0,0,0,0,1,0,0,0,0,0,2,1,1400,85.5,1,0,0,0,16,4,3,56,2,2,0,0,36.4,508,+4,0.0,0,0,0,0,0,1,0,0,0,0,2,0,1600,96.0,0,1,0,0,16,10,3,55,5,5,5,0,36.3,504,0,0.0,0,0,0,0,1,0,0,0,0,0,2,0,1400,81.8,1,0,0,0,18,2,3,55,16,11,0,0,34.5,504,+4,0.0,0,0,0,0,1,0,0,0,0,0,2,0,1400,82.4,1,0,0,0,14,12,3,55,12,10,0,0,33.3,500,+14,0.3,0,0,0,0,1,0,0,0,0,0,6,0,1600,97.5,0,0,1,0,12,12,3,54,5,4,0,0,35.8,486,0,1.1
5,10,9,422,-2,0,1,0,3,54.0,0,0,0,0,0,0,0,1,0,0,16,1,1400,91.3,0,1,0,0,16,16,3,54,8,9,0,0,41.8,424,0,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
