馬名,着順,単オッズ,複オッズ小,複オッズ大,当日芝,当日ダ,当日距離,本日良,本日稍,本日重,本日不,枠番,馬番,中週,体重,体重増減,牡,牝,セ,馬齢,斤量,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
イフウドウドウ,10,20.3,5.9,8.3,1,0,1200,1,0,0,0,1,1,9,452,-8,1,0,0,3,56.0,0,0,0,0,1,0,0,0,0,0,12,0,1,1400,89.2,1,0,0,0,16,14,3,56,10,8,0,0,39.4,460,-2,2.8,0,0,0,0,1,0,0,0,0,0,12,1,0,1400,83.6,1,0,0,0,18,9,3,56,6,6,0,0,34.4,462,+4,0.8,0,0,0,0,0,1,0,0,0,0,3,1,0,1600,96.6,1,0,0,0,16,7,3,56,5,5,3,0,35.7,458,-2,0.3,0,0,0,0,0,0,1,0,0,0,4,0,1,1200,74.9,1,0,0,0,16,1,3,56,14,14,0,0,37.6,460,-10,0.6,0,0,0,0,1,0,0,0,0,0,6,0,1,1600,101.2,1,0,0,0,16,16,3,56,11,12,0,0,38.7,470,-10,0.8
ワイドロスメルタ,1,9.3,2.4,3.3,1,0,1200,1,0,0,0,1,2,9,480,+8,0,1,0,3,51.0,0,0,0,0,0,0,0,1,0,0,14,0,1,1800,120.5,0,1,0,0,15,15,3,54,2,2,4,8,44.3,472,0,6.3,0,0,0,0,0,0,0,1,0,0,11,1,0,1600,94.9,1,0,0,0,18,8,3,54,1,1,0,0,36.6,472,-20,1.0,0,0,0,1,0,0,0,0,0,0,10,1,0,1600,98.1,1,0,0,0,16,5,3,54,2,3,0,0,35.6,492,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
パフォームワンダー,6,69.8,32.1,46.4,1,0,1200,1,0,0,0,2,3,11,424,+10,1,0,0,3,53.0,0,0,0,0,0,0,0,1,0,0,15,1,0,1600,96.7,1,0,0,0,15,3,3,56,14,15,0,0,35.8,414,-10,2.7,0,0,0,0,0,0,1,0,0,0,7,1,0,1400,84.2,1,0,0,0,18,12,3,56,10,10,0,0,35.5,424,-12,0.9,0,0,0,0,0,0,0,0,1,0,8,1,0,1400,84.8,1,0,0,0,11,10,3,55,9,8,0,0,37.1,436,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
アイティコスモス,4,13.6,3.8,5.3,1,0,1200,1,0,0,0,2,4,3,430,+2,0,1,0,3,54.0,0,1,0,0,0,0,0,0,0,0,8,1,0,1200,71.0,1,0,0,0,16,9,3,54,2,2,0,0,36.4,428,0,0.9,0,0,0,0,1,0,0,0,0,0,5,1,0,1400,83.5,1,0,0,0,18,18,3,54,1,1,0,0,34.8,428,+10,0.2,0,0,0,0,0,0,0,0,0,1,6,0,1,1000,60.4,0,0,1,0,14,12,3,54,4,7,0,0,36.7,418,-10,1.5,0,0,0,0,0,1,0,0,0,0,6,0,1,1200,73.9,0,0,1,0,16,3,3,54,3,3,0,0,39.3,428,+8,1.0,0,0,0,0,0,1,0,0,0,0,7,1,0,1200,69.8,1,0,0,0,16,8,3,54,6,4,0,0,35.7,420,-2,0.2
エリモフローラ,3,15.7,4.9,6.8,1,0,1200,1,0,0,0,3,5,2,482,+2,0,1,0,3,54.0,0,1,0,0,0,0,0,0,0,0,4,0,1,1700,108.8,1,0,0,0,13,13,3,54,2,2,1,1,39.6,480,0,1.1,0,0,0,0,0,0,0,1,0,0,7,0,1,1200,73.9,1,0,0,0,16,2,3,54,10,10,0,0,37.3,480,-6,0.5,0,0,0,0,0,0,0,0,1,0,6,0,1,1400,86.9,1,0,0,0,16,16,3,54,12,9,0,0,37.8,486,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
プライマリーカラー,2,5.9,1.8,2.4,1,0,1200,1,0,0,0,3,6,1,428,+6,0,1,0,3,52.0,0,1,0,0,0,0,0,0,0,0,4,1,0,1200,70.4,1,0,0,0,15,7,3,52,7,8,0,0,35.0,422,+4,0.4,0,1,0,0,0,0,0,0,0,0,5,1,0,1200,69.8,1,0,0,0,16,12,3,51,12,9,0,0,34.4,418,+10,0.5,0,0,0,1,0,0,0,0,0,0,4,1,0,1400,83.4,0,1,0,0,16,7,3,51,8,8,0,0,36.0,408,+2,0.3,0,0,1,0,0,0,0,0,0,0,3,1,0,1200,69.9,1,0,0,0,16,10,3,51,6,3,0,0,35.2,406,-4,0.2,0,0,0,0,0,0,0,0,0,1,13,1,0,1200,70.3,1,0,0,0,18,7,3,54,16,16,0,0,35.3,410,-8,1.3
アルマダクロス,7,4.3,1.5,1.9,1,0,1200,1,0,0,0,4,7,7,456,0,1,0,0,3,56.0,0,0,0,0,1,0,0,0,0,0,8,1,0,1400,83.7,1,0,0,0,18,16,3,56,18,15,0,0,33.7,456,+2,0.4,0,0,1,0,0,0,0,0,0,0,2,1,0,1200,69.9,1,0,0,0,16,2,3,56,8,7,0,0,35.1,454,0,0.2,0,0,1,0,0,0,0,0,0,0,3,1,0,1200,70.7,1,0,0,0,16,16,3,56,8,5,0,0,35.0,454,+4,0.2,0,0,0,0,0,1,0,0,0,0,6,1,0,1200,69.7,1,0,0,0,16,9,3,55,10,10,0,0,35.2,450,+4,0.1,0,0,0,0,1,0,0,0,0,0,5,1,0,1400,83.0,1,0,0,0,18,9,3,55,8,8,0,0,34.3,446,-6,0.6
ミスマープル,13,316.9,71.4,103.3,1,0,1200,1,0,0,0,4,8,9,442,+2,0,1,0,3,54.0,0,0,0,1,0,0,0,0,0,0,15,1,0,1000,58.6,1,0,0,0,16,15,3,54,13,0,0,0,35.0,440,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
パッシートジビッボ,14,15.8,5.0,6.9,1,0,1200,1,0,0,0,5,9,21,440,+8,0,1,0,3,53.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,1200,69.6,1,0,0,0,18,17,3,54,1,1,0,0,35.6,432,-2,0.4,0,0,0,0,0,1,0,0,0,0,11,0,1,1200,75.1,0,1,0,0,16,15,3,54,3,3,0,0,41.4,434,0,1.7,0,0,1,0,0,0,0,0,0,0,4,1,0,1200,71.9,0,1,0,0,16,10,3,54,1,1,0,0,37.1,434,+2,0.4,0,0,0,1,0,0,0,0,0,0,16,1,0,1200,71.9,1,0,0,0,16,3,3,54,9,8,0,0,36.5,432,0,1.7
フットパース,8,262.5,51.8,74.9,1,0,1200,1,0,0,0,5,10,7,474,+4,1,0,0,3,56.0,0,0,0,0,1,0,0,0,0,0,6,0,1,1300,81.9,1,0,0,0,15,14,3,56,8,7,0,0,38.1,470,-12,1.8,0,0,1,0,0,0,0,0,0,0,12,0,1,1700,110.9,1,0,0,0,14,15,3,56,11,11,7,9,39.8,482,+18,3.0,0,0,0,0,0,1,0,0,0,0,8,0,1,1800,121.7,1,0,0,0,13,6,3,54,3,3,4,6,42.4,464,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
