馬名,着順,オッズ,当日芝,当日ダ,当日距離,本日良,本日稍,本日重,本日不,枠番,馬番,中週,体重,体重増減,牡,牝,セ,馬齢,斤量,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
オールドクラシック,9,100.8,1,0,2200,1,0,0,0,1,1,1,478,0,1,0,0,5,57.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,1,0,1800,107.0,1,0,0,0,14,8,5,55,6,6,7,0,35.5,478,-2,2.3,0,0,0,0,0,1,0,0,0,0,4,1,0,1800,108.6,1,0,0,0,10,10,5,57,7,6,7,7,33.8,480,+4,0.6,1,0,0,0,0,0,0,0,0,0,10,1,0,2000,125.2,1,0,0,0,16,10,5,57,10,9,9,9,38.3,476,-2,1.6,1,0,0,0,0,0,0,0,0,0,14,1,0,1800,112.1,0,1,0,0,14,10,5,58,8,7,7,10,37.3,478,+2,1.8
トーホウアルテミス,4,3.6,1,0,2200,1,0,0,0,2,2,29,482,+10,0,1,0,3,53.0,0,0,0,0,1,0,0,0,0,0,14,1,0,2400,146.1,1,0,0,0,17,7,3,55,15,15,15,15,34.6,472,+6,2.3,0,0,0,0,0,0,0,1,0,0,1,1,0,2200,135.0,1,0,0,0,12,4,3,54,2,2,2,2,34.4,466,-8,-0.2,0,0,0,0,0,0,0,0,1,0,11,1,0,2000,122.3,1,0,0,0,14,4,3,54,2,3,4,8,38.0,474,+10,1.8,0,0,0,0,0,0,0,0,0,1,1,1,0,2000,120.3,1,0,0,0,18,5,3,54,2,2,2,2,36.4,464,-8,-0.2,0,0,0,0,0,0,0,0,0,1,3,1,0,2000,122.6,1,0,0,0,10,9,3,54,3,3,3,3,35.2,472,+2,0.2
ヴィッセン,7,32.4,1,0,2200,1,0,0,0,3,3,2,488,-4,1,0,0,7,57.0,0,0,0,0,0,0,0,1,0,0,9,1,0,2400,148.2,1,0,0,0,9,1,7,54,6,5,6,7,35.2,492,+8,1.3,0,0,0,0,0,0,0,1,0,0,2,1,0,2400,157.4,0,0,0,1,10,3,7,57,3,3,4,3,37.3,484,+16,0.5,0,0,0,0,1,0,0,0,0,0,6,1,0,2400,145.4,1,0,0,0,12,10,7,54,5,5,5,5,34.9,468,-8,0.2,0,0,0,0,0,0,0,0,1,0,10,0,1,1800,113.5,0,1,0,0,12,11,7,56,11,11,9,9,37.2,476,-8,1.5,0,0,0,0,0,0,0,0,1,0,8,0,1,1800,113.2,1,0,0,0,12,1,7,57,11,10,11,11,37.7,484,+6,1.4
エトランドル,8,12.0,1,0,2200,1,0,0,0,4,4,22,528,-16,1,0,0,6,57.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,0,1,1800,114.9,0,0,1,0,15,10,6,57,9,9,9,12,41.7,544,+16,5.2,0,0,0,0,0,0,0,1,0,0,2,1,0,2400,149.6,1,0,0,0,6,4,6,57,4,3,4,3,34.4,528,0,0.4,0,0,0,0,0,0,0,0,1,0,5,1,0,2400,148.3,1,0,0,0,13,13,6,56,6,6,4,4,35.5,528,-4,0.6,0,0,0,0,0,0,1,0,0,0,10,1,0,2200,135.2,0,1,0,0,13,12,6,57,10,9,3,3,37.0,532,-4,0.8
ホットファイヤー,10,21.6,1,0,2200,1,0,0,0,5,5,29,476,+2,1,0,0,5,57.0,0,0,0,0,0,0,0,1,0,0,6,1,0,1800,108.0,1,0,0,0,13,6,5,57,5,5,0,0,35.9,474,-4,0.6,0,0,0,0,0,0,0,1,0,0,3,1,0,2200,133.9,1,0,0,0,9,4,5,55,3,3,3,3,34.4,478,0,0.1,0,0,0,0,0,0,0,0,1,0,3,1,0,2000,124.1,1,0,0,0,8,5,5,57,8,8,2,2,34.3,478,+8,0.5,0,0,0,0,0,1,0,0,0,0,4,1,0,2000,122.9,0,1,0,0,13,12,5,57,9,9,11,4,35.2,470,-2,0.6,0,0,0,0,0,0,0,0,0,1,4,1,0,2000,120.9,0,1,0,0,18,13,5,57,14,14,11,6,35.3,472,-6,0.1
ミヤジユウダイ,5,50.7,1,0,2200,1,0,0,0,6,6,0,534,-2,1,0,0,4,57.0,0,0,0,0,0,0,1,0,0,0,12,0,1,1800,116.1,1,0,0,0,16,11,4,57,13,13,13,14,40.0,536,-4,2.7,0,0,0,0,0,0,0,1,0,0,9,1,0,2400,150.8,1,0,0,0,9,1,4,57,9,9,9,9,34.3,540,-2,0.6,0,0,0,0,0,0,0,1,0,0,7,1,0,1800,108.1,1,0,0,0,8,1,4,57,5,5,0,0,34.7,542,+2,0.6,0,0,0,0,0,0,0,0,1,0,4,1,0,1800,108.3,0,0,1,0,8,3,4,57,6,7,0,0,34.0,540,+6,0.9,0,0,0,0,0,0,0,0,0,1,6,1,0,2000,120.9,1,0,0,0,8,3,4,57,1,1,1,6,35.1,534,-6,0.8
シャイニーゲール,3,4.9,1,0,2200,1,0,0,0,7,7,2,462,-2,1,0,0,4,57.0,0,0,0,0,0,0,0,1,0,0,5,1,0,2400,147.7,1,0,0,0,9,8,4,55,2,2,2,2,35.1,464,+4,0.8,0,0,0,0,0,0,0,1,0,0,3,1,0,2400,150.4,1,0,0,0,9,9,4,57,2,2,2,2,34.8,460,-6,0.2,0,1,0,0,0,0,0,0,0,0,1,1,0,2600,161.6,1,0,0,0,12,2,4,57,2,2,2,2,34.9,466,-4,-0.4,0,1,0,0,0,0,0,0,0,0,8,1,0,2600,165.4,0,0,1,0,11,2,4,57,3,3,7,7,36.5,470,+12,1.1,0,0,0,0,0,0,0,0,1,0,2,1,0,2200,135.3,0,1,0,0,13,9,4,57,4,5,5,3,37.1,458,-4,1.3
ギャラッド,1,2.7,1,0,2200,1,0,0,0,7,8,8,474,+6,0,0,1,3,55.0,0,0,0,1,0,0,0,0,0,0,1,1,0,2000,120.6,1,0,0,0,15,8,3,55,13,12,0,0,32.7,468,0,0.0,0,0,0,1,0,0,0,0,0,0,4,1,0,2000,120.4,1,0,0,0,10,10,3,54,5,5,0,0,33.4,468,-8,0.8,0,0,0,0,0,1,0,0,0,0,9,1,0,2200,135.6,1,0,0,0,11,8,3,56,4,4,3,4,36.1,476,+2,1.8,0,0,0,0,1,0,0,0,0,0,1,1,0,2400,149.8,0,1,0,0,16,9,3,56,6,5,5,5,35.2,474,-4,0.0,0,0,0,0,1,0,0,0,0,0,3,1,0,1800,109.8,1,0,0,0,18,11,3,55,5,5,6,0,34.7,478,+8,0.4
スクエアフォールド,2,9.7,1,0,2200,1,0,0,0,8,9,3,472,-4,0,0,1,5,57.0,0,0,0,0,1,0,0,0,0,0,7,1,0,2000,121.4,1,0,0,0,10,8,5,57,7,7,5,0,34.3,476,0,1.4,0,0,0,0,0,1,0,0,0,0,5,1,0,2000,122.7,0,1,0,0,16,6,5,57,14,14,12,11,35.2,476,+8,0.9,0,0,0,1,0,0,0,0,0,0,5,1,0,2200,132.2,1,0,0,0,11,10,5,57,8,9,7,5,35.4,468,-8,1.3,0,0,1,0,0,0,0,0,0,0,3,1,0,2000,122.4,0,1,0,0,10,1,5,57,5,6,5,5,37.3,476,+2,0.4,0,0,0,0,1,0,0,0,0,0,4,1,0,2000,118.3,1,0,0,0,14,2,5,57,7,7,6,0,35.5,474,+4,0.4
ファスナハト,6,8.3,1,0,2200,1,0,0,0,8,10,3,550,+6,1,0,0,5,57.0,0,0,0,0,0,0,0,1,0,0,9,1,0,2000,121.9,1,0,0,0,11,7,5,57,9,9,9,8,34.7,544,+4,1.0,0,0,0,0,0,0,1,0,0,0,5,1,0,2200,135.1,1,0,0,0,9,2,5,57,4,5,5,5,35.9,540,-8,1.3,0,0,0,0,0,0,0,1,0,0,7,1,0,2400,151.1,0,1,0,0,12,3,5,57,3,3,3,3,38.1,548,-2,1.0,0,0,0,0,0,0,1,0,0,0,1,1,0,2200,135.0,0,1,0,0,12,10,5,57,4,4,4,3,36.2,550,+2,0.0,0,0,0,0,0,0,1,0,0,0,6,1,0,2200,133.1,1,0,0,0,18,1,5,57,8,6,7,7,36.4,548,+2,0.2
