馬名,着順,単オッズ,複オッズ小,複オッズ大,当日距離,枠番,馬番,中週,体重,体重増減,斤量,着順,タイム,頭数,馬番,斤量,通過順1,通過順2,通過順3,3ハロン,体重,体重増減,着差,着順,タイム,頭数,馬番,通過順1,通過順2,3ハロン,体重,体重増減,着差,着順,タイム,頭数,馬番,通過順1,通過順2,3ハロン,体重,体重増減,着差,着順,タイム,馬番,通過順1,3ハロン,体重,体重増減,着差,着順,タイム,馬番,3ハロン,体重,体重増減,着差
シンコーメグチャン,7,13.5,2.9,4.4,1700,1,1,2,464,-6,54.0,7,96.6,12,4,54,12,12,0,35.7,470,0,1.0,1,116.4,14,3,3,4,37.3,470,+2,-0.2,13,110.1,16,12,13,11,35.4,468,-4,1.5,4,98.2,11,14,34.3,472,0,0.4,0,0,0,0,0,0,0
ラブリーイレブン,6,13.4,2.6,3.8,1700,1,2,3,424,-4,54.0,3,86.1,16,2,54,11,10,0,38.4,428,-4,0.1,1,86.8,16,14,2,2,37.8,432,+6,-0.4,3,73.4,16,10,3,3,37.2,426,-2,0.2,2,73.2,7,2,37.5,428,0,0.4,4,102.4,3,40.4,428,0,1.8
ベルアーシュ,13,83.8,16.5,26.1,1700,2,3,4,460,0,54.0,6,88.3,11,11,54,6,4,0,38.2,460,-2,1.8,1,85.8,15,13,2,2,37.0,462,-4,-0.1,4,74.0,16,15,4,4,37.7,466,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
メジャーマジック,15,53.0,7.7,12.0,1700,2,4,10,492,-8,54.0,1,115.9,9,3,54,2,2,2,38.5,500,-2,0.0,12,83.6,18,4,16,15,34.9,502,+4,0.8,10,96.8,16,5,2,2,35.8,498,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ハーベストムーン,3,5.3,1.6,2.2,1700,3,5,3,514,-6,56.0,1,116.2,13,9,56,6,7,3,39.3,520,+2,-0.3,2,114.6,15,12,2,2,36.6,518,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ダイシンステルラ,16,307.2,50.1,79.8,1700,3,6,3,442,-2,54.0,13,99.6,15,11,54,12,11,0,37.9,444,0,2.2,13,86.2,13,12,3,5,37.9,444,0,3.3,1,85.4,18,12,9,6,36.8,444,0,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
カクリョウ,11,327.5,51.1,81.4,1700,4,7,2,476,-6,56.0,11,75.2,15,15,56,9,11,0,39.1,482,+4,2.1,10,84.6,11,3,3,3,36.5,478,+2,1.6,7,87.7,9,1,3,3,40.2,476,0,3.4,7,97.5,7,1,36.5,476,+6,1.2,1,72.9,3,37.9,470,-4,0.0
シメイ,8,160.2,22.4,35.7,1700,4,8,2,486,+2,56.0,1,105.0,12,9,56,1,1,1,39.4,484,-10,-1.1,12,118.3,16,16,1,2,44.1,494,-2,3.4,3,116.2,16,15,2,2,39.2,496,+6,0.7,7,113.7,5,2,38.1,490,-2,2.4,7,112.3,8,37.8,492,0,1.3
キャベンディッシュ,2,21.8,4.2,6.4,1700,5,9,3,484,-10,56.0,7,97.9,15,5,56,11,11,0,36.3,494,-6,0.5,11,118.3,15,3,2,2,40.2,500,-2,1.6,1,116.4,15,6,1,1,40.1,502,+8,-0.2,4,106.4,6,3,39.1,494,+4,1.5,7,72.1,6,37.3,490,0,1.4
スーサンドン,4,28.6,6.6,10.3,1700,5,10,2,478,-12,56.0,7,110.0,10,2,56,10,10,0,35.7,490,+6,1.2,7,95.7,9,2,6,6,33.8,484,+4,0.9,8,82.4,9,5,2,2,36.0,480,0,0.8,8,112.2,5,3,37.5,480,0,1.2,3,112.3,1,34.8,480,+14,0.5
サージュミノル,5,3.3,1.3,1.7,1700,6,11,3,460,0,56.0,2,115.3,9,7,56,2,2,2,38.8,460,0,0.3,3,114.4,10,2,2,1,39.6,460,+2,0.5,2,114.4,8,4,3,3,38.7,458,-2,0.0,2,111.1,12,1,36.7,460,+6,0.1,12,88.8,11,39.0,454,-4,3.8
モンサンフィエール,14,7.6,2.2,3.2,1700,6,12,2,442,-10,56.0,1,86.1,15,14,56,4,4,0,38.1,452,0,-0.9,2,86.2,16,8,11,10,38.0,452,+4,0.2,2,86.7,16,3,6,6,38.4,448,0,0.4,3,87.4,2,8,38.6,448,-2,0.8,10,71.5,7,36.5,450,+2,2.5
