馬名,着順,オッズ,当日芝,当日ダ,当日距離,本日良,本日稍,本日重,本日不,枠番,馬番,中週,体重,体重増減,牡,牝,セ,馬齢,斤量,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝,芝,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝,芝,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝,芝,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝,芝,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝,芝,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
パイカジ,14,189.3,0,1,1300,0,0,1,0,1,1,2,462,-18,0,1,0,3,54.0,0,0,0,1,0,0,0,0,0,0,15,0,1,1200,75.9,1,0,0,0,15,9,3,51,13,13,0,0,39.2,480,+20,3.7,0,0,0,0,0,1,0,0,0,0,9,0,1,1200,75.9,1,0,0,0,16,3,3,52,1,1,0,0,39.7,460,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
アテンフェアリー,1,13.6,0,1,1300,0,0,1,0,1,2,2,464,+8,0,1,0,3,54.0,0,0,0,0,1,0,0,0,0,0,3,0,1,1400,87.0,1,0,0,0,16,12,3,54,16,15,0,0,36.5,456,+2,0.3,0,0,0,0,1,0,0,0,0,0,15,1,0,1800,110.8,0,1,0,0,16,14,3,54,2,3,3,0,36.2,454,+4,2.1,0,0,1,0,0,0,0,0,0,0,8,0,1,1150,71.7,1,0,0,0,16,10,3,51,7,8,0,0,39.1,450,+6,1.4,0,0,0,0,0,0,1,0,0,0,9,0,1,1200,76.3,1,0,0,0,15,12,3,53,11,11,0,0,39.4,444,-8,2.6,0,0,0,0,0,1,0,0,0,0,11,0,1,1200,75.6,1,0,0,0,16,4,3,54,2,2,0,0,41.1,452,-4,2.1
セイドアモール,2,4.2,0,1,1300,0,0,1,0,2,3,2,472,+10,0,1,0,3,52.0,0,0,0,1,0,0,0,0,0,0,2,0,1,1200,72.3,1,0,0,0,15,2,3,53,3,3,0,0,36.6,462,-2,0.1,0,0,0,1,0,0,0,0,0,0,3,0,1,1200,72.6,0,0,0,1,14,6,3,53,7,7,0,0,37.8,464,-10,1.3,0,0,0,0,0,1,0,0,0,0,3,0,1,1200,72.5,0,1,0,0,16,6,3,54,2,2,0,0,38.3,474,-4,0.3,0,0,0,0,0,1,0,0,0,0,5,0,1,1200,73.9,1,0,0,0,16,5,3,54,3,4,0,0,39.3,478,+6,1.2,0,0,0,0,0,0,0,1,0,0,3,0,1,1200,74.7,1,0,0,0,14,3,3,54,2,3,0,0,38.6,472,+2,1.9
ツキノサバク,6,50.0,0,1,1300,0,0,1,0,2,4,2,436,0,0,1,0,3,53.0,0,0,0,0,1,0,0,0,0,0,5,0,1,1400,87.4,1,0,0,0,16,1,3,54,8,8,0,0,37.5,436,+2,0.7,0,0,1,0,0,0,0,0,0,0,7,1,0,1200,70.8,1,0,0,0,16,10,3,52,5,3,0,0,35.7,434,-2,0.7,0,0,0,0,1,0,0,0,0,0,9,0,1,1600,102.0,1,0,0,0,16,2,3,52,10,10,0,0,39.5,436,-6,2.4,0,0,0,0,0,1,0,0,0,0,5,0,1,1200,73.9,1,0,0,0,16,5,3,54,7,6,0,0,38.1,442,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ウジラーサン,12,285.5,0,1,1300,0,0,1,0,3,5,11,432,+8,0,1,0,3,53.0,0,0,0,0,0,1,0,0,0,0,13,1,0,1600,98.7,1,0,0,0,13,1,3,53,13,13,13,0,37.2,424,-8,3.8,0,0,0,0,0,1,0,0,0,0,12,0,1,1800,119.9,0,1,0,0,16,4,3,53,11,11,9,10,41.1,432,+2,3.1,0,0,0,0,1,0,0,0,0,0,11,0,1,1600,102.6,1,0,0,0,16,8,3,53,9,8,0,0,40.3,430,0,3.0,0,0,0,0,1,0,0,0,0,0,17,1,0,1800,111.8,1,0,0,0,18,16,3,54,10,8,7,0,35.9,430,+4,2.2,0,0,0,0,1,0,0,0,0,0,6,1,0,1400,84.7,1,0,0,0,17,13,3,54,5,5,0,0,34.6,426,0,1.0
リトルエイト,11,8.1,0,1,1300,0,0,1,0,3,6,10,440,+10,0,1,0,3,54.0,0,0,0,0,0,1,0,0,0,0,5,0,1,1200,74.2,1,0,0,0,16,12,3,54,6,2,0,0,39.2,430,-4,0.4,0,0,0,0,0,1,0,0,0,0,5,0,1,1200,74.4,1,0,0,0,16,7,3,54,9,8,0,0,38.6,434,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ナイスプリンセス,4,8.8,0,1,1300,0,0,1,0,4,7,3,454,+2,0,1,0,3,53.0,0,0,0,1,0,0,0,0,0,0,3,0,1,1200,73.6,1,0,0,0,15,14,3,53,5,4,0,0,37.9,452,+2,0.9,0,0,0,0,1,0,0,0,0,0,3,0,1,1400,87.9,1,0,0,0,16,6,3,54,6,5,0,0,38.4,450,-2,0.7,0,0,0,0,0,1,0,0,0,0,4,0,1,1200,73.0,1,0,0,0,16,14,3,54,8,8,0,0,37.6,452,-10,0.2,0,0,0,0,0,1,0,0,0,0,4,0,1,1200,73.2,0,0,1,0,16,16,3,54,15,13,0,0,37.1,462,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
チャンダナ,8,33.1,0,1,1300,0,0,1,0,4,8,3,468,0,0,1,0,3,54.0,0,0,0,0,1,0,0,0,0,0,5,0,1,1300,81.0,1,0,0,0,15,16,3,54,5,5,0,0,38.1,468,-8,1.7,0,0,0,0,0,1,0,0,0,0,8,0,1,1200,74.1,1,0,0,0,16,10,3,54,5,6,0,0,39.2,476,-2,1.4,0,0,0,0,0,1,0,0,0,0,5,0,1,1200,73.6,1,0,0,0,16,13,3,54,5,4,0,0,38.6,478,+2,0.8,0,0,0,0,1,0,0,0,0,0,3,0,1,1300,81.0,0,0,1,0,16,6,3,54,1,1,0,0,37.7,476,-2,0.4,0,0,0,0,0,1,0,0,0,0,4,0,1,1200,73.7,1,0,0,0,15,14,3,54,2,3,0,0,39.1,478,+6,0.3
ファロ,10,46.5,0,1,1300,0,0,1,0,5,9,2,466,+2,0,1,0,3,51.0,0,0,0,1,0,0,0,0,0,0,5,0,1,1200,73.8,1,0,0,0,15,10,3,53,2,2,0,0,39.0,464,+6,1.7,0,0,1,0,0,0,0,0,0,0,10,0,1,1150,71.3,1,0,0,0,16,14,3,53,10,10,0,0,38.7,458,-12,2.5,0,0,0,0,0,1,0,0,0,0,8,0,1,1200,75.0,1,0,0,0,16,1,3,52,6,7,0,0,40.0,470,-2,1.2,0,0,0,0,0,1,0,0,0,0,6,0,1,1200,75.0,1,0,0,0,16,8,3,54,1,2,0,0,40.5,472,0,1.5,0,0,0,0,0,1,0,0,0,0,3,0,1,1200,73.1,1,0,0,0,16,13,3,54,5,5,0,0,38.1,472,+8,0.7
イデアノオモイ,9,44.4,0,1,1300,0,0,1,0,5,10,1,426,0,0,1,0,3,54.0,0,0,0,0,1,0,0,0,0,0,5,0,1,1300,81.1,1,0,0,0,16,6,3,54,6,8,0,0,38.4,426,0,0.7,0,0,0,0,0,1,0,0,0,0,9,0,1,1200,73.8,0,1,0,0,16,16,3,54,14,14,0,0,37.6,426,-2,1.1,0,0,0,0,0,1,0,0,0,0,7,0,1,1200,73.9,1,0,0,0,16,9,3,54,10,10,0,0,38.2,428,-2,1.2,0,0,0,0,0,1,0,0,0,0,4,0,1,1200,73.5,1,0,0,0,16,11,3,54,15,15,0,0,36.8,430,-2,0.7,0,0,0,0,0,0,0,1,0,0,4,0,1,1200,75.3,1,0,0,0,13,9,3,54,13,12,0,0,37.2,432,0,0.6
ペイシャアクティブ,13,208.5,0,1,1300,0,0,1,0,6,11,0,482,0,0,1,0,3,51.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
