馬名,着順,オッズ,当日芝,当日ダ,当日距離,本日良,本日稍,本日重,本日不,枠番,馬番,中週,体重,体重増減,牡,牝,セ,馬齢,斤量,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
スマハマ,1,1.7,0,1,1800,0,0,1,0,1,1,24,538,0,1,0,0,4,56.0,0,0,0,0,0,0,1,0,0,0,3,0,1,1800,111.2,1,0,0,0,13,5,4,55,2,2,2,2,37.2,538,+4,1.4,0,0,0,0,1,0,0,0,0,0,2,0,1,1600,96.9,0,1,0,0,12,6,4,57,6,7,0,0,35.8,534,+6,0.0,0,0,0,0,1,0,0,0,0,0,1,0,1,1600,98.5,1,0,0,0,16,13,4,56,2,2,0,0,36.8,528,+4,-0.4,0,0,0,0,0,0,0,1,0,0,1,0,1,1800,112.7,0,1,0,0,7,1,4,56,1,1,1,1,37.1,524,-12,-0.3,0,0,0,0,0,0,0,0,1,0,1,0,1,1800,114.7,1,0,0,0,16,14,4,55,1,1,1,1,37.7,536,+6,-1.0
ローズプリンスダム,3,30.5,0,1,1800,0,0,1,0,2,2,2,470,-2,1,0,0,5,56.0,0,0,0,0,1,0,0,0,0,0,5,0,1,1600,95.5,0,0,1,0,13,11,5,56,5,5,0,0,36.8,472,0,0.7,0,0,0,0,0,0,0,1,0,0,9,0,1,1400,84.4,1,0,0,0,14,8,5,56,9,9,0,0,36.8,472,+6,1.5,0,0,0,0,1,0,0,0,0,0,14,0,1,1600,98.8,1,0,0,0,16,7,5,56,7,8,0,0,38.0,466,+10,2.1,0,0,0,1,0,0,0,0,0,0,3,0,1,1800,112.1,1,0,0,0,12,7,5,56,3,3,3,3,36.8,456,-4,0.3,0,0,0,0,0,0,1,0,0,0,3,0,1,1800,110.7,1,0,0,0,15,11,5,56,5,6,6,6,37.3,460,+4,1.6
アイファーイチオー,9,16.5,0,1,1800,0,0,1,0,3,3,5,502,+6,1,0,0,5,56.0,0,0,0,0,1,0,0,0,0,0,11,0,1,2100,132.4,1,0,0,0,16,16,5,56,1,1,1,1,38.7,496,-14,1.2,0,0,0,0,0,0,1,0,0,0,1,0,1,1800,113.0,1,0,0,0,16,2,5,57,2,2,2,2,38.0,510,0,-0.1,0,0,0,0,0,0,1,0,0,0,1,0,1,1800,112.8,1,0,0,0,14,1,5,57,1,1,1,1,37.5,510,-2,-0.2,0,0,0,0,0,0,0,0,0,1,11,0,1,1700,107.0,0,1,0,0,16,13,5,57,7,7,7,11,39.3,512,-4,1.4,0,0,0,0,0,0,1,0,0,0,1,0,1,1800,114.4,1,0,0,0,10,8,5,57,2,2,2,2,38.5,516,+4,-0.6
マイネルクラース,5,6.7,0,1,1800,0,0,1,0,4,4,3,468,+4,1,0,0,5,56.0,0,0,0,0,0,0,0,0,1,0,1,0,1,1800,110.2,0,1,0,0,13,3,5,57,3,3,2,2,36.4,464,0,-1.0,0,0,0,0,0,1,0,0,0,0,8,1,0,2500,156.7,1,0,0,0,12,10,5,56,8,6,6,7,35.0,464,+2,1.0,0,0,0,0,1,0,0,0,0,0,5,0,1,2100,131.9,1,0,0,0,12,3,5,57,7,6,7,5,37.7,462,+2,1.2,0,0,0,0,0,0,0,0,1,0,9,0,1,1800,109.6,0,1,0,0,16,13,5,57,15,15,16,14,35.6,460,+2,1.1,0,0,0,0,0,0,0,1,0,0,4,0,1,1900,118.3,1,0,0,0,16,8,5,57,7,7,7,7,37.1,458,-4,0.5
アンデスクイーン,4,18.8,0,1,1800,0,0,1,0,5,5,5,502,0,0,1,0,5,54.0,0,0,0,0,1,0,0,0,0,0,2,0,1,2100,131.5,1,0,0,0,16,13,5,54,10,11,8,10,37.1,502,+4,0.3,0,0,0,0,1,0,0,0,0,0,4,0,1,2100,128.4,0,0,1,0,16,3,5,52,9,9,9,9,36.0,498,+6,0.3,0,0,0,0,1,0,0,0,0,0,7,0,1,1600,97.9,1,0,0,0,16,6,5,54,12,12,0,0,36.7,492,-2,1.2,0,0,0,0,0,1,0,0,0,0,1,0,1,1800,113.2,1,0,0,0,16,4,5,55,8,8,8,7,38.9,494,-6,-0.2,0,0,0,0,0,0,0,1,0,0,5,0,1,1900,118.6,1,0,0,0,16,14,5,54,10,9,7,7,37.5,500,+4,0.8
ジョーダンキング,2,6.5,0,1,1800,0,0,1,0,6,6,7,500,+2,1,0,0,6,56.0,0,0,0,0,0,0,0,1,0,0,6,0,1,1900,118.7,1,0,0,0,16,9,6,56,9,9,9,10,37.2,498,+6,0.6,0,0,0,0,0,1,0,0,0,0,8,0,1,1800,112.7,1,0,0,0,16,3,6,55,15,15,10,10,37.3,492,-6,0.4,0,0,0,0,0,0,0,0,1,0,1,0,1,2000,124.2,0,1,0,0,14,5,6,56,8,8,4,4,37.7,498,-6,-0.8,0,0,0,0,0,0,0,1,0,0,1,0,1,1900,119.3,1,0,0,0,15,13,6,57,11,11,8,2,38.0,504,+2,0.0,0,0,0,0,0,0,0,0,1,0,2,0,1,1800,110.9,0,1,0,0,16,3,6,57,3,3,3,3,35.5,502,-2,0.0
タイセイパルサー,10,61.1,0,1,1800,0,0,1,0,6,7,2,488,+2,1,0,0,6,56.0,0,0,0,0,1,0,0,0,0,0,13,0,1,1600,98.7,0,0,1,0,13,7,6,57,2,2,0,0,40.5,486,-6,3.9,0,0,0,0,0,0,0,1,0,0,1,0,1,1900,118.4,1,0,0,0,13,7,6,57,2,2,2,1,36.6,492,-4,-0.1,0,0,0,0,0,0,0,1,0,0,10,0,1,1800,114.2,0,1,0,0,11,10,6,57,6,6,9,10,36.5,496,-2,1.8,0,0,0,0,0,0,0,1,0,0,12,0,1,1900,121.4,1,0,0,0,12,12,6,54,3,3,3,3,38.9,498,-2,2.1,0,0,0,0,0,0,0,0,1,0,3,0,1,1800,109.2,0,1,0,0,16,2,6,54,5,4,5,5,36.1,500,0,0.7
サトノアッシュ,7,21.1,0,1,1800,0,0,1,0,7,8,2,494,+2,1,0,0,7,56.0,0,0,0,0,1,0,0,0,0,0,2,0,1,1600,95.2,0,0,1,0,13,10,7,57,7,7,0,0,36.2,492,0,0.4,0,0,0,0,1,0,0,0,0,0,15,1,0,1800,107.5,1,0,0,0,15,8,7,54,5,7,8,0,34.7,492,+4,1.7,0,0,0,0,1,0,0,0,0,0,12,0,1,1600,98.3,1,0,0,0,16,3,7,56,10,9,0,0,37.4,488,-2,1.6,0,0,0,0,1,0,0,0,0,0,9,0,1,2100,131.0,1,0,0,0,16,8,7,54,5,6,7,7,37.5,490,-4,0.6,0,0,0,0,0,1,0,0,0,0,1,0,1,1800,109.9,0,0,0,1,15,6,7,56,1,1,1,1,36.3,494,+4,-0.6
クイーンマンボ,8,8.5,0,1,1800,0,0,1,0,7,9,5,512,0,0,1,0,5,54.0,0,0,0,0,1,0,0,0,0,0,6,0,1,2100,131.9,1,0,0,0,16,2,5,54,4,3,5,4,37.9,512,-8,0.7,0,0,0,0,0,0,0,1,0,0,8,0,1,1900,119.0,1,0,0,0,16,11,5,54,4,4,5,4,37.9,520,+14,0.9,0,0,0,0,0,1,0,0,0,0,4,0,1,1800,111.4,1,0,0,0,16,3,5,55,7,8,6,5,36.8,506,0,0.5,0,0,0,0,0,0,0,1,0,0,4,0,1,1800,110.6,1,0,0,0,16,3,5,55,7,7,7,5,37.2,506,-1,0.2,0,0,0,0,0,0,0,0,0,0,7,0,1,1800,115.4,1,0,0,0,14,14,5,56,8,9,9,10,38.7,507,+11,1.5
ナムラアラシ,6,26.1,0,1,1800,0,0,1,0,8,10,12,516,-4,1,0,0,6,58.0,0,0,0,0,0,0,0,0,1,0,5,0,1,1800,111.7,0,1,0,0,16,5,6,56,15,15,16,9,37.4,520,-6,0.9,0,0,0,0,0,0,0,0,1,0,7,0,1,2000,126.3,1,0,0,0,16,4,6,57,13,13,12,12,37.0,526,0,0.6,0,0,0,0,0,0,0,1,0,0,2,0,1,1900,117.7,0,1,0,0,15,11,6,58,12,12,11,12,36.5,526,+3,0.1,0,0,0,0,0,0,0,0,0,0,6,0,1,2500,163.1,0,1,0,0,9,3,6,56,6,6,6,4,39.1,523,+1,2.4,0,0,0,0,1,0,0,0,0,0,5,0,1,2100,130.9,1,0,0,0,16,7,6,57,15,15,13,12,37.0,522,+2,0.5
