馬名,着順,オッズ,枠番,馬番,中週,体重,体重増減,牡,牝,セ,馬齢,斤量,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
ハディア,14,152.1,1,1,2,462,-2,1,0,0,3,56.0,0,0,0,0,1,0,0,0,0,0,15,1,1400,88.3,1,0,0,0,16,5,3,55,9,11,0,0,38.4,464,-4,3.0,0,0,0,0,1,0,0,0,0,0,14,1,1400,88.1,1,0,0,0,15,3,3,56,2,2,0,0,39.5,468,+14,2.1,0,0,0,0,1,0,0,0,0,0,1,1,1400,86.3,1,0,0,0,14,1,3,55,3,4,0,0,37.0,454,-2,0.0,0,0,0,0,1,0,0,0,0,0,3,1,1400,86.1,0,0,0,1,12,8,3,55,2,2,0,0,38.4,456,+4,0.5,0,0,0,0,1,0,0,0,0,0,4,1,1400,87.9,0,1,0,0,16,3,3,55,3,3,0,0,38.7,452,+2,0.8
フランジヴェント,5,4.8,1,2,16,474,+18,0,1,0,3,54.0,0,0,0,0,1,0,0,0,0,0,1,0,1400,81.8,1,0,0,0,18,11,3,54,6,6,0,0,35.0,456,-4,0.0,1,0,0,0,0,0,0,0,0,0,4,0,1200,71.9,1,0,0,0,15,9,3,54,14,11,0,0,35.5,460,0,0.1,0,1,0,0,0,0,0,0,0,0,2,0,1200,70.5,1,0,0,0,11,9,3,54,6,4,0,0,35.9,460,-4,0.1,0,1,0,0,0,0,0,0,0,0,2,0,1200,71.5,0,1,0,0,6,3,3,54,5,5,0,0,34.9,464,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ジュニパーベリー,3,11.2,2,3,2,450,-12,0,1,0,3,54.0,0,0,0,0,0,0,0,0,0,1,2,0,1200,70.9,1,0,0,0,18,8,3,54,6,4,0,0,36.1,462,+6,0.3,0,0,0,0,0,0,0,0,0,1,7,0,1200,69.2,1,0,0,0,15,7,3,54,6,7,0,0,35.1,456,-4,0.5,0,0,0,0,0,1,0,0,0,0,3,0,1200,69.1,1,0,0,0,14,11,3,54,6,6,0,0,34.7,460,-2,0.2,0,0,0,0,0,1,0,0,0,0,5,0,1200,70.3,0,1,0,0,12,2,3,54,5,7,0,0,35.9,462,0,1.0,0,0,1,0,0,0,0,0,0,0,9,0,1200,71.3,1,0,0,0,14,7,3,54,2,1,0,0,37.1,462,+4,1.0
メメントモリ,6,4.1,2,4,2,450,0,0,1,0,3,54.0,0,0,0,0,0,0,0,0,0,1,6,0,1200,71.3,1,0,0,0,18,11,3,54,4,3,0,0,36.6,450,+6,0.7,0,0,0,0,0,1,0,0,0,0,2,0,1200,68.9,1,0,0,0,14,6,3,54,2,3,0,0,35.3,444,-2,0.0,0,0,1,0,0,0,0,0,0,0,3,0,1200,70.5,1,0,0,0,14,5,3,54,8,7,0,0,35.7,446,-12,0.2,0,0,0,0,0,1,0,0,0,0,3,0,1200,68.9,1,0,0,0,12,5,3,54,3,3,0,0,34.8,458,-2,0.1,0,0,0,0,0,0,0,0,0,1,1,0,1200,70.0,1,0,0,0,12,10,3,54,3,2,0,0,35.4,460,0,-0.1
ホープホワイト,12,53.3,3,5,1,448,0,0,1,0,3,51.0,0,0,0,0,0,1,0,0,0,0,5,0,1600,95.2,1,0,0,0,9,5,3,51,2,2,2,0,37.8,448,-4,1.4,0,0,0,0,0,0,0,1,0,0,11,0,1600,96.6,1,0,0,0,12,3,3,54,12,12,0,0,36.3,452,+6,3.0,0,0,1,0,0,0,0,0,0,0,10,0,1200,71.4,1,0,0,0,14,4,3,54,9,8,0,0,36.5,446,-6,1.1,0,0,0,0,1,0,0,0,0,0,3,0,1400,82.2,1,0,0,0,11,4,3,54,4,4,0,0,35.0,452,+8,0.6,0,0,0,0,0,0,0,0,0,1,9,0,1200,71.3,0,0,1,0,14,8,3,54,5,6,0,0,37.1,444,+2,0.8
ネバーゴーンアウト,8,96.1,3,6,2,490,+2,1,0,0,3,56.0,0,0,0,0,0,0,0,0,0,1,12,0,1200,71.9,1,0,0,0,18,6,3,56,9,8,0,0,36.9,488,-6,1.3,0,0,0,0,0,1,0,0,0,0,5,0,1200,69.9,1,0,0,0,16,2,3,56,7,9,0,0,35.9,494,+8,0.8,0,0,0,0,0,1,0,0,0,0,1,0,1200,69.5,1,0,0,0,16,9,3,55,8,7,0,0,35.6,486,-8,-0.1,0,0,0,1,0,0,0,0,0,0,9,0,1600,97.4,1,0,0,0,13,7,3,54,8,8,0,0,35.8,494,+2,1.8,0,0,1,0,0,0,0,0,0,0,4,0,1200,72.5,0,1,0,0,15,15,3,54,4,4,0,0,36.3,492,0,0.6
アポロティアモ,15,73.0,4,7,1,484,-4,1,0,0,3,56.0,0,0,0,0,0,1,0,0,0,0,10,1,1800,116.8,1,0,0,0,15,2,3,56,8,7,6,6,41.1,488,-4,1.9,0,0,0,0,1,0,0,0,0,0,13,1,1400,87.5,1,0,0,0,15,12,3,56,5,5,0,0,38.5,492,0,1.5,0,0,0,0,1,0,0,0,0,0,1,1,1400,86.3,1,0,0,0,14,14,3,55,2,2,0,0,37.2,492,-2,0.0,0,0,0,0,1,0,0,0,0,0,4,1,1300,79.1,0,0,1,0,16,9,3,55,3,3,0,0,36.1,494,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
イッツアワターン,13,130.6,4,8,7,428,-2,0,1,0,3,54.0,0,0,0,0,0,1,0,0,0,0,12,0,1600,98.3,0,1,0,0,16,5,3,54,2,1,2,0,37.7,430,0,1.5,0,0,0,0,0,0,1,0,0,0,13,0,1400,84.3,1,0,0,0,14,12,3,54,9,12,0,0,36.3,430,+10,2.5,0,0,0,0,0,1,0,0,0,0,7,0,1600,95.4,1,0,0,0,9,8,3,54,3,3,2,0,35.2,420,+6,1.1,1,0,0,0,0,0,0,0,0,0,1,0,1500,91.7,1,0,0,0,14,14,3,54,7,7,3,0,36.3,414,-2,0.0,1,0,0,0,0,0,0,0,0,0,2,0,1500,91.1,0,1,0,0,14,14,3,54,3,3,2,0,35.6,416,0,0.3
ラフィンクロンヌ,11,61.2,5,9,11,464,-4,0,1,0,3,54.0,0,0,0,0,0,1,0,0,0,0,13,0,1200,70.2,1,0,0,0,14,2,3,54,1,1,0,0,36.7,468,0,1.3,0,0,0,0,0,0,0,0,0,0,1,1,1000,60.6,1,0,0,0,11,4,3,54,2,2,0,0,37.1,468,+4,-0.5,0,0,0,0,0,0,0,0,0,0,1,1,1000,61.2,0,0,1,0,12,9,3,54,1,1,0,0,38.3,464,0,-0.4,0,0,0,0,0,0,0,0,0,0,2,1,1000,62.0,0,0,1,0,11,1,3,54,6,6,0,0,37.0,464,+4,0.0,0,0,0,0,0,0,0,0,0,0,3,1,1000,62.9,1,0,0,0,11,6,3,54,1,1,0,0,39.2,460,0,1.1
ヤマニンプレシオサ,7,55.8,5,10,3,462,0,0,1,0,3,54.0,0,0,0,0,1,0,0,0,0,0,12,0,1600,95.4,1,0,0,0,14,7,3,54,10,11,0,0,35.0,462,-8,1.4,0,0,0,0,0,1,0,0,0,0,9,0,1600,97.8,0,1,0,0,16,13,3,54,12,14,11,0,36.3,470,+8,1.0,0,0,0,0,0,1,0,0,0,0,1,0,1200,70.1,1,0,0,0,16,7,3,54,2,2,0,0,35.1,462,0,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
