馬名,着順,オッズ,当日芝,当日ダ,当日距離,本日良,本日稍,本日重,本日不,枠番,馬番,中週,体重,体重増減,牡,牝,セ,馬齢,斤量,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝,芝,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝,芝,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝,芝,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝,芝,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝,芝,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
コスモエスパーダ,2,3.5,1,0,1600,1,0,0,0,1,1,2,468,0,1,0,0,3,56.0,0,0,0,0,0,1,0,0,0,0,4,1,0,1600,95.7,1,0,0,0,16,7,3,56,2,2,2,0,37.0,468,-4,0.5,0,0,0,0,1,0,0,0,0,0,3,1,0,1600,95.9,1,0,0,0,16,4,3,56,2,2,0,0,34.2,472,-2,0.2,0,0,0,0,1,0,0,0,0,0,4,1,0,1600,95.4,1,0,0,0,16,14,3,56,3,3,0,0,35.1,474,+26,0.5,0,0,1,0,0,0,0,0,0,0,14,1,0,1200,72.4,1,0,0,0,16,3,3,54,14,12,0,0,36.3,448,+6,1.3,0,0,1,0,0,0,0,0,0,0,5,1,0,1200,70.8,1,0,0,0,15,1,3,54,7,6,0,0,34.7,442,0,0.7
プロース,12,155.4,1,0,1600,1,0,0,0,1,2,0,464,0,1,0,0,3,56.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ヒバナ,16,124.7,1,0,1600,1,0,0,0,2,3,11,426,0,0,1,0,3,51.0,0,0,0,0,0,1,0,0,0,0,16,1,0,1600,97.2,1,0,0,0,16,10,3,51,16,16,16,0,37.0,426,-6,2.9,0,0,0,0,1,0,0,0,0,0,17,1,0,1400,85.9,1,0,0,0,18,17,3,51,15,17,0,0,35.5,432,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ピュアデボーション,7,48.1,1,0,1600,1,0,0,0,2,4,11,444,-4,0,1,0,3,54.0,0,0,0,0,0,1,0,0,0,0,11,1,0,1600,96.3,1,0,0,0,16,5,3,54,9,6,6,0,37.7,448,+4,2.0,0,0,0,0,0,1,0,0,0,0,4,1,0,1600,97.4,1,0,0,0,16,10,3,54,2,2,2,0,35.9,444,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ニシノプレジール,6,4.1,1,0,1600,1,0,0,0,3,5,10,408,-10,0,1,0,3,54.0,0,0,0,0,0,1,0,0,0,0,2,1,0,1600,96.1,1,0,0,0,16,4,3,54,11,12,11,0,35.8,418,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
グランツリヒター,1,5.1,1,0,1600,1,0,0,0,3,6,1,490,+2,1,0,0,3,55.0,0,0,0,0,0,1,0,0,0,0,3,1,0,1600,96.1,1,0,0,0,16,2,3,56,6,5,5,0,36.0,488,+2,0.4,0,0,0,0,0,1,0,0,0,0,9,0,1,1800,121.3,1,0,0,0,16,4,3,56,1,1,1,1,43.0,486,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
フローラルティアラ,13,54.5,1,0,1600,1,0,0,0,4,7,0,460,0,0,1,0,3,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ロードストライク,4,8.9,1,0,1600,1,0,0,0,4,8,0,472,0,1,0,0,3,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
リンラン,11,51.4,1,0,1600,1,0,0,0,5,9,16,464,-4,0,1,0,3,54.0,0,0,0,0,0,1,0,0,0,0,9,1,0,2000,123.8,1,0,0,0,18,13,3,54,6,6,3,4,37.1,468,+2,0.8,0,0,1,0,0,0,0,0,0,0,9,1,0,2000,125.0,1,0,0,0,11,8,3,54,2,2,4,4,35.7,466,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
モンスタープリンス,15,48.6,1,0,1600,1,0,0,0,5,10,29,496,0,1,0,0,3,56.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
