馬名,着順,オッズ,当日芝,当日ダ,当日距離,本日良,本日稍,本日重,本日不,枠番,馬番,中週,体重,体重増減,牡,牝,セ,馬齢,斤量,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
ロナ,5,4.4,1,0,1400,1,0,0,0,1,1,1,468,+6,0,1,0,3,54.0,0,0,0,0,0,0,0,1,0,0,3,1,0,1400,81.5,1,0,0,0,18,4,3,54,2,2,0,0,35.3,462,0,0.4,0,0,0,0,0,0,1,0,0,0,16,1,0,1400,84.3,1,0,0,0,18,16,3,54,8,8,0,0,35.9,462,+2,1.6,0,0,0,0,0,0,0,0,1,0,3,1,0,1400,83.7,0,1,0,0,16,1,3,54,4,3,0,0,36.7,460,0,0.7,0,0,0,0,0,0,0,0,1,0,5,1,0,1200,70.6,1,0,0,0,16,15,3,54,9,8,0,0,34.7,460,0,0.5,0,0,0,0,0,0,0,1,0,0,11,1,0,1600,95.9,1,0,0,0,16,7,3,54,13,13,0,0,35.2,460,-4,1.2
グレーフィンソニア,10,15.8,1,0,1400,1,0,0,0,1,2,1,462,-2,0,1,0,3,54.0,0,0,0,0,0,0,0,1,0,0,4,1,0,1200,69.3,1,0,0,0,18,18,3,54,9,11,0,0,34.1,464,-10,0.6,0,0,0,0,0,0,0,0,0,1,10,1,0,1200,70.4,1,0,0,0,18,15,3,53,12,10,0,0,35.9,474,+8,1.8,0,0,0,0,0,0,0,0,1,0,3,1,0,1200,71.1,0,0,1,0,13,9,3,54,4,4,0,0,35.2,466,-6,0.2,0,0,0,0,0,0,0,0,1,0,5,0,1,1400,87.8,1,0,0,0,11,4,3,54,3,4,0,0,38.7,472,-6,0.9,0,0,0,0,0,0,0,0,0,1,2,1,0,1200,69.6,1,0,0,0,8,8,3,54,2,2,0,0,34.9,478,0,0.4
コスモスターリング,9,110.7,1,0,1400,1,0,0,0,2,3,8,470,0,1,0,0,3,56.0,0,0,0,0,0,0,0,0,0,1,7,1,0,1200,69.9,1,0,0,0,18,6,3,53,12,11,0,0,35.1,470,-4,0.7,0,0,0,0,0,0,1,0,0,0,17,1,0,1400,84.8,1,0,0,0,18,16,3,54,10,9,0,0,37.3,474,+8,2.3,0,0,0,0,0,0,1,0,0,0,16,0,1,1200,76.1,1,0,0,0,16,15,3,52,11,11,0,0,40.1,466,+6,3.5,0,0,0,0,0,0,1,0,0,0,4,1,0,1400,82.8,1,0,0,0,8,3,3,54,3,2,0,0,35.8,460,+2,1.1,0,0,0,0,0,0,0,0,1,0,5,1,0,1400,84.2,1,0,0,0,9,2,3,54,1,1,0,0,37.6,458,+2,1.8
オーミハルカゼ,13,247.3,1,0,1400,1,0,0,0,2,4,0,422,0,0,1,0,3,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
グランツシチー,3,78.4,1,0,1400,1,0,0,0,3,5,3,446,+4,1,0,0,3,56.0,0,0,0,0,0,0,0,0,1,0,5,0,1,1200,74.5,1,0,0,0,16,14,3,56,12,9,0,0,37.2,442,-10,1.1,0,0,0,0,0,0,0,0,0,1,11,0,1,1000,61.5,0,1,0,0,13,12,3,56,8,11,0,0,37.6,452,+2,1.9,0,0,0,0,0,0,0,0,1,0,8,0,1,1400,87.8,1,0,0,0,12,11,3,55,1,1,0,0,39.2,450,-6,1.1,0,0,0,0,0,0,0,1,0,0,16,1,0,1400,84.5,1,0,0,0,16,12,3,54,10,12,0,0,36.7,456,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ルナール,14,216.1,1,0,1400,1,0,0,0,3,6,8,460,-8,1,0,0,3,56.0,0,0,0,0,0,0,0,0,1,0,14,0,1,1800,118.0,0,1,0,0,15,6,3,56,14,14,14,15,39.3,468,+2,2.6,0,0,0,0,0,0,0,1,0,0,14,0,1,1800,120.8,1,0,0,0,16,1,3,56,2,2,3,6,42.6,466,0,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
マイマーベラスワン,12,87.4,1,0,1400,1,0,0,0,4,7,8,412,-2,0,1,0,3,54.0,0,0,0,0,0,0,0,0,1,0,12,1,0,1600,96.6,1,0,0,0,16,5,3,54,7,7,0,0,37.1,414,+8,2.6,0,0,0,0,0,0,0,0,0,1,3,1,0,1200,71.0,0,1,0,0,18,4,3,54,8,7,0,0,35.6,406,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ショウサンワンラヤ,7,102.1,1,0,1400,1,0,0,0,4,8,8,424,+8,0,1,0,3,53.0,0,0,0,0,0,0,0,0,0,1,8,1,0,1200,71.6,0,0,1,0,18,3,3,54,14,13,0,0,36.1,416,0,1.4,0,0,0,0,0,0,0,0,0,1,5,1,0,1200,71.3,0,1,0,0,18,3,3,54,10,9,0,0,35.8,416,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スマートユニバンス,4,7.5,1,0,1400,1,0,0,0,5,9,9,472,-6,1,0,0,3,56.0,0,0,0,0,0,0,0,0,1,0,5,0,1,1800,116.6,1,0,0,0,15,4,3,56,4,6,4,5,38.9,478,-2,0.8,0,0,0,0,0,0,0,1,0,0,4,1,0,1600,96.7,0,1,0,0,11,8,3,56,6,5,0,0,35.9,480,-2,0.6,0,0,0,0,0,0,0,1,0,0,3,1,0,1600,95.7,1,0,0,0,16,6,3,56,12,11,0,0,36.0,482,+16,0.2,0,0,0,0,0,0,0,1,0,0,5,1,0,2000,125.5,1,0,0,0,9,2,3,55,6,4,4,3,35.5,466,0,0.4,0,0,0,0,0,0,0,0,1,0,4,1,0,1800,108.5,1,0,0,0,10,6,3,54,8,7,0,0,36.1,466,+4,1.7
トップオブメジャー,1,3.2,1,0,1400,1,0,0,0,5,10,3,484,-4,1,0,0,3,56.0,0,0,0,0,0,0,0,0,1,0,2,1,0,1400,82.7,1,0,0,0,18,10,3,56,5,4,0,0,34.8,488,-2,0.1,0,0,0,0,0,0,0,1,0,0,3,1,0,1600,97.5,1,0,0,0,15,7,3,56,5,5,0,0,37.0,490,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
