馬名,着順,オッズ,枠番,馬番,中週,体重,体重増減,牡,牝,セ,馬齢,斤量,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
ドウディ,14,17.7,1,1,7,492,-4,1,0,0,5,57.0,0,0,0,0,0,1,0,0,0,0,12,0,1200,70.2,0,1,0,0,16,1,5,57,16,15,0,0,34.9,496,+8,0.9,0,0,0,0,0,1,0,0,0,0,7,0,1600,93.7,1,0,0,0,13,10,5,57,4,5,5,0,35.5,488,-2,0.6,0,0,0,0,1,0,0,0,0,0,14,0,1400,83.0,1,0,0,0,17,17,5,57,16,16,0,0,33.2,490,+12,1.7,1,0,0,0,0,0,0,0,0,0,12,0,1200,70.0,1,0,0,0,14,9,5,57,10,9,0,0,35.4,478,-6,1.1,0,1,0,0,0,0,0,0,0,0,2,0,1200,69.0,1,0,0,0,13,9,5,57,8,8,0,0,34.7,484,+4,0.0
ロイヤルメジャー,17,17.1,1,2,0,472,-10,0,1,0,5,55.0,0,0,0,0,0,0,0,0,0,1,16,0,1200,70.2,1,0,0,0,18,12,5,55,4,5,0,0,36.4,482,+22,1.4,0,0,0,0,0,0,0,1,0,0,12,0,1200,69.9,1,0,0,0,18,5,5,55,6,7,0,0,35.4,460,+4,0.6,0,1,0,0,0,0,0,0,0,0,3,0,1200,69.0,1,0,0,0,13,13,5,55,3,3,0,0,35.1,456,-12,0.0,0,1,0,0,0,0,0,0,0,0,3,0,1200,68.4,1,0,0,0,16,7,5,55,5,5,0,0,34.7,468,-2,0.3,0,1,0,0,0,0,0,0,0,0,10,0,1200,68.3,1,0,0,0,16,7,5,55,9,11,0,0,34.7,470,+18,0.4
メイショウシャチ,13,26.4,2,3,10,484,+12,1,0,0,6,57.0,0,0,0,0,0,0,0,0,1,0,4,0,1200,68.9,1,0,0,0,16,6,6,57,8,8,0,0,34.0,472,0,0.1,0,0,1,0,0,0,0,0,0,0,1,0,1200,69.8,1,0,0,0,16,4,6,57,5,5,0,0,35.3,472,0,-0.2,0,0,0,1,0,0,0,0,0,0,2,0,1400,81.8,1,0,0,0,18,5,6,57,7,10,0,0,34.9,472,-6,0.2,0,0,0,0,0,0,0,0,0,1,9,0,1200,69.2,0,0,1,0,18,8,6,57,5,4,0,0,35.4,478,-2,0.8,0,0,0,0,0,0,0,0,0,1,17,0,1200,69.0,1,0,0,0,18,17,6,56,7,8,0,0,35.6,480,+12,1.3
パッションチカ,15,193.0,2,4,23,442,-4,0,1,0,5,55.0,1,0,0,0,0,0,0,0,0,0,12,0,1200,71.4,1,0,0,0,16,9,5,55,4,4,0,0,36.7,446,0,1.0,1,0,0,0,0,0,0,0,0,0,1,0,1200,70.9,0,1,0,0,16,1,5,55,4,4,0,0,35.7,446,+2,0.0,1,0,0,0,0,0,0,0,0,0,7,0,1200,69.3,1,0,0,0,16,11,5,55,6,5,0,0,34.9,444,-14,0.4,0,1,0,0,0,0,0,0,0,0,5,0,1200,69.8,1,0,0,0,12,7,5,55,8,6,0,0,35.1,458,0,0.2,0,1,0,0,0,0,0,0,0,0,3,0,1200,69.0,1,0,0,0,15,2,5,55,7,5,0,0,34.1,458,+6,0.1
コロラトゥーレ,11,22.5,3,5,23,472,+28,0,1,0,5,55.0,1,0,0,0,0,0,0,0,0,0,7,0,1200,70.8,1,0,0,0,16,3,5,55,7,7,0,0,35.8,444,-6,0.4,1,0,0,0,0,0,0,0,0,0,3,0,1200,71.2,0,1,0,0,14,10,5,56,5,4,0,0,35.9,450,-4,0.1,0,1,0,0,0,0,0,0,0,0,4,0,1200,69.1,1,0,0,0,13,5,5,55,5,5,0,0,35.0,454,+2,0.1,0,1,0,0,0,0,0,0,0,0,5,0,1200,70.2,0,0,1,0,16,16,5,55,8,10,0,0,35.7,452,-8,0.3,0,1,0,0,0,0,0,0,0,0,3,0,1200,68.1,1,0,0,0,16,13,5,55,3,3,0,0,34.9,460,0,0.2
タイセイブレーク,12,4.9,3,6,2,492,-10,0,0,1,5,57.0,0,0,0,0,0,0,1,0,0,0,6,0,1200,68.7,1,0,0,0,16,6,5,57,15,14,0,0,33.4,502,+10,0.5,0,0,0,0,0,0,0,0,0,1,1,0,1200,68.4,0,0,1,0,18,5,5,57,3,2,0,0,34.7,492,+2,-0.2,0,0,0,0,0,0,0,0,0,1,3,0,1200,67.9,1,0,0,0,14,2,5,57,13,10,0,0,32.9,490,+2,0.3,0,0,0,0,0,0,0,0,0,1,2,0,1200,67.5,1,0,0,0,14,6,5,57,10,11,0,0,33.3,488,-2,0.1,0,0,0,0,0,0,1,0,0,0,8,0,1200,69.1,1,0,0,0,18,6,5,57,18,18,0,0,32.8,490,0,0.9
メイケイダイハード,8,15.4,4,7,3,534,-16,1,0,0,4,57.0,0,0,0,0,0,0,0,1,0,0,6,0,1400,82.5,1,0,0,0,11,3,4,56,2,2,0,0,35.5,550,+16,1.0,0,0,0,0,0,0,1,0,0,0,16,0,1200,69.8,1,0,0,0,18,11,4,56,11,10,0,0,34.3,534,+8,1.4,0,0,0,0,0,0,0,0,1,0,3,0,1200,70.2,0,0,1,0,16,8,4,55,7,10,0,0,34.7,526,-6,0.4,0,0,0,0,0,0,0,0,1,0,1,0,1200,69.4,1,0,0,0,16,6,4,53,7,7,0,0,33.9,532,+4,0.0,0,0,0,0,0,0,0,0,0,1,4,0,1200,67.2,1,0,0,0,18,3,4,52,5,5,0,0,34.0,528,+2,0.1
アリア,5,12.2,4,8,2,502,0,0,1,0,4,55.0,0,0,0,0,0,0,1,0,0,0,8,0,1200,68.8,1,0,0,0,16,12,4,54,9,9,0,0,33.8,502,+6,0.6,0,0,0,0,0,1,0,0,0,0,13,1,1200,72.2,1,0,0,0,16,16,4,54,7,5,0,0,38.1,496,+4,1.6,1,0,0,0,0,0,0,0,0,0,9,0,1200,71.2,1,0,0,0,16,8,4,53,2,1,0,0,36.8,492,+4,0.8,1,0,0,0,0,0,0,0,0,0,2,0,1200,69.1,1,0,0,0,14,13,4,52,10,9,0,0,34.5,488,-6,0.2,0,1,0,0,0,0,0,0,0,0,2,0,1200,68.9,1,0,0,0,16,12,4,51,2,2,0,0,34.8,494,+10,0.0
ニホンピロメリーナ,18,307.7,5,9,10,470,+14,0,1,0,5,55.0,0,0,0,0,0,0,0,0,1,0,9,0,2000,120.8,1,0,0,0,10,2,5,55,9,8,8,8,35.5,456,-6,2.1,0,0,0,0,0,0,0,1,0,0,11,1,1800,113.2,1,0,0,0,12,8,5,55,9,9,11,12,36.8,462,-4,1.3,0,0,0,0,0,0,0,1,0,0,14,1,1400,86.5,1,0,0,0,16,1,5,55,9,9,0,0,37.4,466,+2,1.9,0,0,0,0,0,0,0,0,0,0,1,1,1400,88.3,0,1,0,0,10,8,5,55,1,1,1,0,37.6,464,0,-0.9,0,0,0,0,0,0,0,0,0,1,12,1,1700,104.7,0,0,0,1,16,11,5,55,12,12,13,13,37.8,464,+8,1.2
ミラアイトーン,1,5.6,5,10,80,540,+20,1,0,0,5,57.0,0,0,0,0,0,0,0,0,0,1,1,0,1200,67.7,1,0,0,0,12,6,5,54,3,3,0,0,33.6,520,-6,-0.2,0,0,0,0,0,0,1,0,0,0,3,0,1400,80.7,0,1,0,0,14,14,5,54,10,9,0,0,33.6,526,+16,0.1,0,0,0,0,0,0,0,0,1,0,8,0,1600,95.7,1,0,0,0,12,9,5,56,3,2,0,0,36.6,510,-4,1.6,0,0,0,0,0,0,0,1,0,0,1,0,1400,82.3,1,0,0,0,11,3,5,56,5,5,0,0,33.8,514,+2,-0.2,0,0,0,0,0,1,0,0,0,0,4,0,2000,121.9,1,0,0,0,12,1,5,55,2,2,2,2,36.7,512,+6,0.9
