馬名,着順,単オッズ,複オッズ小,複オッズ大,当日距離,枠番,馬番,中週,体重,体重増減,斤量,着順,タイム,頭数,馬番,斤量,通過順1,通過順2,通過順3,3ハロン,体重,体重増減,着差,着順,タイム,頭数,馬番,通過順1,通過順2,3ハロン,体重,体重増減,着差,着順,タイム,頭数,馬番,通過順1,通過順2,3ハロン,体重,体重増減,着差,着順,タイム,馬番,通過順1,3ハロン,体重,体重増減,着差,着順,タイム,馬番,3ハロン,体重,体重増減,着差
アグネスクレア,11,213.0,22.7,79.3,1800,1,1,13,562,+6,54.0,0,0,0,0,0,0,0,0,0,0,0,0,11,116.1,16,9,16,16,39.8,556,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
レッドジュディス,14,57.8,8.5,28.9,1800,1,2,5,424,+2,54.0,7,69.6,16,11,54,13,12,0,35.6,422,0,0.5,13,97.3,18,8,6,5,36.6,422,+2,1.5,10,121.5,17,13,14,15,35.7,420,+6,1.8,7,85.1,8,7,35.4,414,0,1.2,0,0,0,0,0,0,0
ロビーナ,2,11.1,2.1,6.1,1800,2,3,1,446,+2,54.0,3,121.0,16,3,52,1,1,2,35.5,444,-4,0.3,7,108.1,16,6,7,7,39.6,448,-2,1.6,5,109.4,16,15,2,2,36.9,450,+10,0.5,3,95.6,1,2,35.7,440,0,0.6,3,96.2,9,36.0,440,+2,0.4
キトゥンズグレイス,12,31.4,3.4,10.8,1800,2,4,6,458,+2,53.0,4,108.8,16,1,54,11,11,11,40.6,456,-8,0.5,6,115.1,16,9,8,5,39.6,464,-4,1.1,14,108.3,18,15,16,16,35.3,468,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
グレートウォール,7,16.4,2.8,8.6,1800,3,5,24,472,-6,56.0,0,0,0,0,0,0,0,0,0,0,0,0,14,117.3,16,6,9,6,40.0,478,-8,2.6,3,116.9,16,1,1,1,38.9,486,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
サトノアルカディア,1,1.8,1.1,1.1,1800,3,6,3,516,-4,56.0,2,106.8,16,9,56,2,2,2,40.1,520,+8,0.7,2,107.0,16,1,1,1,39.3,512,-12,0.0,3,122.1,14,8,1,1,39.2,524,+6,0.4,6,115.3,2,10,39.7,518,-2,1.5,9,116.0,12,39.6,520,+30,1.5
アプロム,15,244.4,28.3,99.4,1800,4,7,5,494,-6,56.0,10,110.6,16,13,56,11,11,10,37.3,500,+2,1.7,14,123.6,18,2,13,13,36.3,498,+6,1.8,14,120.2,14,7,13,13,42.8,492,-2,3.8,14,127.2,8,13,38.1,494,0,3.3,9,98.1,2,35.2,494,0,1.5
ロードアルペジオ,3,6.5,1.7,4.7,1800,4,8,5,490,+2,53.0,7,122.3,18,4,56,14,13,15,36.6,488,0,1.1,7,122.7,13,9,13,13,36.1,488,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
カリーノピッコラ,16,444.3,80.2,283.0,1800,5,9,7,384,-4,54.0,15,110.3,16,10,54,14,14,14,37.3,388,+16,2.4,0,0,0,0,0,0,0,0,0,0,15,89.7,16,3,16,16,40.2,372,0,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
フェリアデアブリル,9,249.5,33.1,116.2,1800,5,10,4,446,+6,53.0,5,92.5,10,9,56,2,2,2,40.2,440,+6,1.0,18,135.3,18,10,5,5,38.0,434,+4,2.8,15,122.6,16,6,3,3,36.9,430,-10,2.2,15,160.2,6,1,45.3,440,-10,10.1,13,125.1,10,36.6,450,0,2.4
スズカマサル,4,5.4,1.3,2.9,1800,6,11,2,434,-2,56.0,2,107.4,16,2,56,2,2,2,38.7,436,-8,0.4,3,86.2,15,11,5,5,36.3,444,-4,0.0,10,117.2,16,7,4,3,39.6,448,+6,1.9,7,117.1,7,8,39.5,442,-8,2.3,5,116.1,15,39.5,450,0,0.7
エクディス,8,27.2,4.9,16.2,1800,6,12,5,432,+4,53.0,11,69.9,16,1,54,9,9,0,36.1,428,+4,0.8,11,95.4,18,2,8,8,34.4,424,+8,1.3,12,85.0,18,13,15,14,35.2,416,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
プリマレジェンド,5,44.1,6.3,21.3,1800,7,13,23,502,+20,53.0,10,115.5,16,5,54,14,14,16,38.9,482,-8,2.0,6,117.6,16,13,13,14,38.5,490,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
メモラビリア,13,55.3,10.2,34.9,1800,7,14,7,516,+6,54.0,12,110.7,16,8,54,1,1,8,41.4,510,-6,3.1,11,118.0,15,1,4,3,41.4,516,-20,2.0,7,114.5,15,5,12,12,38.7,536,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ヤマカツトップガン,10,179.2,14.1,48.8,1800,8,15,10,484,+6,56.0,15,126.6,18,9,56,12,11,13,38.1,478,0,2.3,13,116.8,16,5,8,10,39.0,478,+2,4.1,17,123.6,18,17,17,17,35.8,476,-14,2.3,16,119.9,13,5,42.3,490,0,5.5,0,0,0,0,0,0,0
アサクサジャック,6,15.4,2.0,5.8,1800,8,16,3,456,-4,56.0,4,107.7,16,8,56,9,9,8,39.8,460,-8,1.6,14,87.5,16,10,12,15,39.8,468,+2,2.1,9,114.8,16,2,7,7,38.8,466,+6,1.6,7,115.0,14,10,39.6,460,0,1.5,0,0,0,0,0,0,0
