
1,1,シンボリクリスエス,テーオーフォース,キャンディーストア,(スペシャルウィーク),栗東・岡田,中6週,484kg(+6),---.-,**,牡5黒鹿,浜中,53.0
2020.01.12,中山,11,ポルックス,OP,ダ1800,1:54.6,良,15頭,12番,10人,菱田裕二,56.0,11-11-11-11,(38.2),478(-2),スワーヴアラミス(1.9)
2019.11.23,京都,1,花園S,3勝,ダ1800,1:51.1,良,16頭,3番,11人,吉田隼人,54.0,5-5-5-3,(38.0),480(+2),サンライズセナ(-0.2)
2019.11.09,京都,7,観月橋S,3勝,ダ1800,1:52.4,良,11頭,4番,9人,菱田裕二,57.0,7-6-7-7,(36.7),478(+4),メモリーコウ(1.1)
2019.07.27,小倉,11,薩摩S,3勝,ダ1700,1:46.5,良,13頭,12番,6人,浜中俊,57.0,11-11-7-8,(38.1),474(0),メイショウワザシ(2.1)
2019.05.05,京都,7,上賀茂S,1600下,ダ1800,1:52.6,良,16頭,11番,4人,国分恭介,54.0,8-7-6-7,(38.2),474(+4),サトノプライム(0.9)
1,2,ゴールドアリュール,メイショウスミトモ,ムゲン,(アジュディケーティング),栗東・南井,中11週,496kg(+16),---.-,**,牡9鹿,古川,55.0
2019.12.07,中山,6,師走S,L,ダ1800,1:52.3,稍,16頭,9番,15人,古川吉洋,55.0,13-13-12-10,(38.6),480(-4),ナムラカメタロー(0.7)
2019.11.03,京都,8,みやこS,GIII,ダ1800,1:51.2,良,16頭,7番,15人,古川吉洋,57.0,11-11-11-11,(38.7),484(+14),ヴェンジェンス(2.1)
2019.10.20,東京,9,ブラジルC,L,ダ2100,2:09.3,重,16頭,6番,16人,津村明秀,55.0,12-12-14-11,(37.0),470(+2),サトノティターン(1.3)
2019.09.01,札幌,14,丹頂S,OP,芝2600,2:44.7,良,14頭,14番,14人,柴山雄一,55.0,6-5-9-14,(39.0),468(+2),ポンデザール(3.9)
2019.08.11,札幌,12,エルムS,GIII,ダ1700,1:44.2,稍,14頭,8番,12人,柴山雄一,57.0,10-10-11-11,(37.9),466(-4),モズアトラクション(2.3)
2,3,ヴァーミリアン,ビスカリア,フサイチジェット,(Gilded,Time),栗東・山内,中27週,牝8鹿,酒井,53.0
6ヵ月半休養鉄砲,[1.1.0.3]2走目,[0.2.1.1]
2019.08.15,門別,5,ブリーダー,GIII,ダ2000,2:07.9,稍,11頭,9番,5人,森泰斗,56.0,6-6-6-5,(39.4),478(+10),アンデスクイーン(1.7)
2019.04.20,福島,10,福島牝馬S,GIII,芝1800,1:50.2,良,10頭,1番,10人,西村淳也,54.0,5-5-9-10,(35.8),468(+2),デンコウアンジュ(2.1)
