台番,機種名,BB,RB,BB確率,合成確率,総スタート,最終スタート,最大放出
281,パチスロ サラリーマン金太郎～MAX～,0,0,-,-,16,16,37
282,闘魂継承 アントニオ猪木という名のパチスロ機,0,0,-,-,0,0,0
283,マジカルハロウィン7,8,7,1/178,1/95,"1,421",88,514
285,S 喰霊,0,0,-,-,0,0,0
286,ハナビ通(HH),5,6,1/378,1/172,"1,890",231,879
287,パチスロ 不二子 TYPE A+,5,2,1/343,1/245,"1,715",416,901
288,SLOTファミリースタジアム,2,0,1/265,1/265,529,361,606
300,回胴黙示録カイジ４,0,0,-,-,0,0,0
301,パチスロ 戦国乙女 TYPE A+,6,5,1/335,1/183,"2,011",202,"1,483"
302,パチスロあの日見た花の名前を僕達はまだ知らない。,0,0,-,-,0,0,0
303,パチスロ 聖闘士星矢 海皇覚醒,4,0,1/513,1/513,"2,050",194,"1,827"
305,秘宝伝～ＴｈｅＬａｓｔ～,7,5,1/152,1/89,"1,067",425,673
306,パチスロ 笑ゥせぇるすまん3～笑撃のドーン～,19,7,1/94,1/69,"1,791",95,"1,193"
307,アナザーゴッドハーデス,11,0,1/206,1/206,"2,270",93,"1,643"
308,アナザーゴッドハーデス,12,0,1/150,1/150,"1,797",444,"4,951"
310,アナザーゴッドハーデス,9,0,1/346,1/346,"3,118",65,"3,071"
311,アナザーゴッドハーデス,12,0,1/384,1/384,"4,606",194,"4,198"
312,ミリオンゴッド,9,0,1/169,1/169,"1,525",55,"2,624"
313,ミリオンゴッド,10,0,1/55,1/55,548,94,"3,015"
315,ミリオンゴッド,13,0,1/150,1/150,"1,945",393,"2,065"
316,ミリオンゴッド,13,0,1/221,1/221,"2,876",42,"5,347"
317,ミリオンゴッド,17,0,1/152,1/152,"2,588",53,"3,552"
318,パチスロ モンスターハンター 月下雷鳴,12,0,1/118,1/118,"1,417",172,968
320,押忍!サラリーマン番長,8,0,1/247,1/247,"1,979",88,"2,287"
321,プレミアムビンゴ,4,0,1/220,1/220,880,140,"1,297"
322,パチスロ ゴッドイーター,17,2,1/80,1/72,"1,359",227,"1,884"
323,パチスロ FAIRY TAIL(ナツver.),0,0,-,-,0,0,0
325,パチスロ FAIRY TAIL(ナツver.),0,0,-,-,0,0,0
326,パチスロ トータル・イクリプス2,0,0,-,-,0,0,0
327,パチスロ トータル・イクリプス2,0,2,-,1/138,276,50,209
328,パチスロ ボンバーパワフルⅢ,0,0,-,-,0,0,0
330,パチスロ ボンバーパワフルⅢ,4,3,1/78,1/45,313,80,284
331,GⅠ優駿倶楽部2,3,0,1/153,1/153,458,5,297
332,GⅠ優駿倶楽部2,0,0,-,-,97,97,92
333,探偵オペラ ミルキィホームズ 1／2の奇跡,1,0,1/521,1/521,521,28,582
335,探偵オペラ ミルキィホームズ 1／2の奇跡,4,3,1/156,1/89,625,77,465
336,パチスロディスクアップ,8,3,1/218,1/159,"1,744",147,"1,130"
337,パチスロディスクアップ,4,1,1/252,1/202,"1,008",289,"1,112"
338,パチスロディスクアップ,9,4,1/182,1/126,"1,638",108,"1,219"
350,パチスロディスクアップ,1,1,1/779,1/390,779,166,"1,092"
351,盗忍！剛衛門,1,1,1/460,1/230,460,158,391
352,盗忍！剛衛門,3,2,1/96,1/58,289,142,386
353,盗忍！剛衛門,49,3,1/7,1/7,354,0,"6,939"
355,押忍!番長3,0,0,-,-,0,0,0
356,押忍!番長3,3,0,1/389,1/389,"1,168",60,"1,428"
357,押忍!番長3,1,0,1/386,1/386,386,94,370
358,押忍!番長3,1,0,1/389,1/389,389,117,291
360,押忍!番長3,12,2,1/64,1/55,768,376,"1,155"
361,SLOT魔法少女まどか☆マギカ2,5,0,1/298,1/298,"1,492",454,"1,701"
362,SLOT魔法少女まどか☆マギカ2,0,0,-,-,0,0,0
363,SLOT劇場版魔法少女まどか☆マギカ[新編]叛逆の物語,0,1,-,1/473,473,112,404
365,SLOT劇場版魔法少女まどか☆マギカ[新編]叛逆の物語,9,8,1/218,1/115,"1,963",86,432
366,SLOT劇場版魔法少女まどか☆マギカ[新編]叛逆の物語,9,5,1/156,1/101,"1,408",124,"1,067"
367,SLOT劇場版魔法少女まどか☆マギカ[新編]叛逆の物語,1,0,1/101,1/101,101,1,114
368,パチスロ北斗の拳 天昇,105,0,1/68,1/68,"7,126",1,"1,610"
370,パチスロ北斗の拳 天昇,0,0,-,-,0,0,0
371,パチスロ北斗の拳 天昇,18,0,1/71,1/71,"1,278",0,"1,013"
372,パチスロ北斗の拳 天昇,2,0,1/429,1/429,857,0,775
373,SLOTバジリスク～甲賀忍法帖～絆2,5,2,1/133,1/95,667,2,374
375,SLOTバジリスク～甲賀忍法帖～絆2,32,27,1/78,1/42,"2,507",1,"1,882"
376,SLOTバジリスク～甲賀忍法帖～絆2,9,6,1/150,1/90,"1,347",2,909
377,SLOTバジリスク～甲賀忍法帖～絆2,27,20,1/103,1/59,"2,790",1,870
378,SLOTバジリスク～甲賀忍法帖～絆2,19,30,1/67,1/26,"1,276",12,"2,597"
380,バジリスク～甲賀忍法帖～絆,73,0,1/100,1/100,"7,332",0,"8,373"
381,バジリスク～甲賀忍法帖～絆,46,0,1/118,1/118,"5,430",32,"2,867"
382,バジリスク～甲賀忍法帖～絆,71,0,1/115,1/115,"8,178",74,"4,992"
383,バジリスク～甲賀忍法帖～絆,16,0,1/137,1/137,"2,190",99,"1,636"
385,バジリスク～甲賀忍法帖～絆,0,0,-,-,0,0,0
386,パチスロ北斗の拳 天昇,21,0,1/47,1/47,987,0,779
387,パチスロ北斗の拳 天昇,0,0,-,-,0,0,0
388,パチスロ北斗の拳 天昇,10,0,1/71,1/71,711,0,675
500,パチスロ北斗の拳 天昇,0,0,-,-,0,0,0
