台番,機種名,BB,RB,BB確率,合成確率,総スタート,最終スタート,最大放出
781,パチスロ蒼天の拳 朋友,0,0,-,-,0,0,0
782,パチスロ蒼天の拳 朋友,0,0,-,-,0,0,0
783,パチスロ蒼天の拳 朋友,0,0,-,-,0,0,0
785,パチスロ蒼天の拳 朋友,3,1,1/109,1/82,328,237,0
786,パチスロ 聖闘士星矢 海皇覚醒Special,2,0,1/745,1/745,"1,490",21,0
787,パチスロ 聖闘士星矢 海皇覚醒Special,5,1,1/227,1/189,"1,135",43,0
788,パチスロ 聖闘士星矢 海皇覚醒Special,0,0,-,-,2,2,0
800,パチスロ 聖闘士星矢 海皇覚醒Special,0,0,-,-,1,1,0
801,押忍!サラリーマン番長,8,1,1/279,1/248,"2,235",244,0
802,押忍!サラリーマン番長,14,6,1/297,1/208,"4,153",264,0
803,押忍!サラリーマン番長,12,4,1/301,1/226,"3,614",246,0
805,押忍!サラリーマン番長,13,4,1/369,1/282,"4,793",112,0
806,押忍!サラリーマン番長,5,2,1/461,1/330,"2,307",133,0
807,押忍!番長3,9,0,1/215,1/215,"1,934",252,0
808,押忍!番長3,19,2,1/105,1/95,"1,997",301,0
810,押忍!番長3,10,3,1/34,1/26,343,159,0
811,押忍!番長3,10,1,1/78,1/71,776,9,0
812,押忍!番長3,5,0,1/109,1/109,545,5,0
813,押忍!番長3,8,0,1/268,1/268,"2,140",299,0
815,押忍!番長3,2,0,1/559,1/559,"1,117",49,0
816,SLOTバジリスク～甲賀忍法帖～絆2,28,24,1/125,1/67,"3,498",15,0
817,SLOTバジリスク～甲賀忍法帖～絆2,34,21,1/113,1/70,"3,850",2,0
818,SLOTバジリスク～甲賀忍法帖～絆2,13,8,1/169,1/104,"2,191",3,0
820,SLOTバジリスク～甲賀忍法帖～絆2,50,45,1/98,1/52,"4,895",23,0
821,SLOTバジリスク～甲賀忍法帖～絆2,36,17,1/133,1/91,"4,802",2,0
822,SLOTバジリスク～甲賀忍法帖～絆2,58,36,1/95,1/59,"5,538",2,0
823,Re:ゼロから始める異世界生活,0,0,-,-,33,33,0
825,Re:ゼロから始める異世界生活,0,0,-,-,0,0,0
826,Re:ゼロから始める異世界生活,15,1,1/97,1/91,"1,454",53,0
827,Re:ゼロから始める異世界生活,0,0,-,-,0,0,0
828,Re:ゼロから始める異世界生活,15,1,1/22,1/21,333,74,0
830,SLOT劇場版魔法少女まどか☆マギカ[新編]叛逆の物語,8,4,1/201,1/134,"1,605",92,0
831,SLOT劇場版魔法少女まどか☆マギカ[新編]叛逆の物語,1,0,1/203,1/203,203,108,0
832,SLOT劇場版魔法少女まどか☆マギカ[新編]叛逆の物語,0,0,-,-,155,155,0
833,SLOT劇場版魔法少女まどか☆マギカ[新編]叛逆の物語,1,1,1/721,1/361,721,299,0
835,SLOT劇場版魔法少女まどか☆マギカ[新編]叛逆の物語,4,2,1/206,1/137,822,13,0
836,パチスロ 戦コレ！[泰平女君] 徳川家康,8,0,1/76,1/76,609,6,0
837,パチスロ 戦コレ！[泰平女君] 徳川家康,0,0,-,-,0,0,0
838,パチスロ 戦コレ！[泰平女君] 徳川家康,0,0,-,-,9,9,0
850,パチスロ 戦コレ！[泰平女君] 徳川家康,4,0,1/392,1/392,"1,567",249,0
851,SLOT魔法少女まどか☆マギカ2,0,0,-,-,0,0,0
852,SLOT魔法少女まどか☆マギカ2,4,5,1/556,1/247,"2,225",52,0
853,パチスロ猛獣王 王者の咆哮,2,3,1/180,1/72,359,128,0
855,パチスロ猛獣王 王者の咆哮,0,0,-,-,0,0,0
856,パチスロ リング 呪いの7日間,2,3,1/752,1/301,"1,503",168,0
857,パチスロ リング 呪いの7日間,0,1,-,1/361,361,208,0
858,パチスロエウレカセブンAO,22,15,1/172,1/102,"3,791",127,0
860,パチスロエウレカセブンAO,13,14,1/106,1/51,"1,381",72,0
861,パチスロ バイオハザード リべレーションズ,10,5,1/140,1/93,"1,402",46,0
862,パチスロ バイオハザード リべレーションズ,31,44,1/48,1/20,"1,481",41,0
863,パチスロ バイオハザード リべレーションズ,26,14,1/61,1/39,"1,578",4,0
865,ＨＥＹ！鏡,0,0,-,-,0,0,0
866,ＨＥＹ！鏡,0,0,-,-,0,0,0
867,ＨＥＹ！鏡,0,1,-,1/840,840,19,0
868,ＨＥＹ！鏡,1,2,1/624,1/208,624,10,0
870,ＨＥＹ！鏡,7,9,1/259,1/113,"1,811",3,0
871,ミリオンゴッド,25,1,1/70,1/68,"1,762",178,0
872,ミリオンゴッド,2,0,1/520,1/520,"1,040",112,0
873,ミリオンゴッド,9,0,1/281,1/281,"2,530",61,0
875,ミリオンゴッド,30,1,1/65,1/63,"1,951",196,0
876,GⅠ優駿倶楽部2,36,0,1/122,1/122,"4,400",41,0
877,GⅠ優駿倶楽部2,0,0,-,-,0,0,0
878,GⅠ優駿倶楽部2,0,0,-,-,0,0,0
880,GⅠ優駿倶楽部2,84,0,1/67,1/67,"5,657",368,0
881,パチスロ FAIRY TAIL(ナツver.),0,0,-,-,0,0,0
882,パチスロ FAIRY TAIL(ナツver.),18,2,1/49,1/44,876,116,0
883,パチスロ FAIRY TAIL(ナツver.),0,0,-,-,81,81,0
885,パチスロ FAIRY TAIL(ナツver.),0,0,-,-,0,0,0
886,パチスロ FAIRY TAIL(ナツver.),0,0,-,-,0,0,0
887,パチスロコードギアス反逆のルルーシュR2,8,25,1/284,1/69,"2,269",107,0
